TOKEN	MORPH	SEG_BME	LABEL
nunataqa	['Nuna', 'ta', 'qa']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'F']	['N', 'Obj', 'Top']
porfin	['porfin']	['D', 'M', 'M', 'M', 'M', 'F']	['ADV']
llawiriyarqunaq	['llawi', 'ri', 'ya', 'rqu', 'naq']	['D', 'M', 'M', 'M', 'F', 'D', 'F', 'D', 'F', 'D', 'M', 'F', 'D', 'M', 'F']	['VTr', 'Pct', 'Pl', 'RecPst', '3', 'Rpst']
nuqatapis	['Nuqa', 'ta', 'pis']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F']	['PRON.Prs', 'Obj', 'Coord']
riqiramarqunmi	['riqi', 'ra', 'ma', 'rqu', 'n', 'mi']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'F', 'D', 'M', 'F', 'U', 'D', 'F']	['VTr', 'Pct', '1.Obj', 'RecPst', '3', 'Asrt']
nuqatapis	['Nuqa', 'ta', 'pis']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F']	['PRON.Prs', 'Obj', 'Coord']
riqiramashqan	['riqi', 'ra', 'ma', 'shqa', 'n']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'F', 'D', 'M', 'M', 'F', 'U']	['VTr', 'Pct', '1.Obj', 'Prf', 'Poss.3']
apayaamuy	['Apa', 'yaa', 'mu', 'y']	['D', 'M', 'F', 'D', 'M', 'F', 'D', 'F', 'U']	['VTr', 'Pl', 'Cis', 'Imp.2']
porfin	['Porfin']	['D', 'M', 'M', 'M', 'M', 'F']	['ADV']
tinkurirqunaq	['tinku', 'ri', 'rqu', 'naq']	['D', 'M', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'D', 'M', 'F']	['VInt', 'Pct', 'RecPst', '3', 'Rpst']
qanchis	['qanchis']	['D', 'M', 'M', 'M', 'M', 'M', 'F']	['NUM.Card']
hunaq	['hunaq']	['D', 'M', 'M', 'M', 'F']	['N']
reyqa	['Rey', 'qa']	['D', 'M', 'F', 'D', 'F']	['N', 'Top']
pensarqunaq	['pensa', 'rqu', 'naq']	['D', 'M', 'M', 'M', 'F', 'D', 'M', 'F', 'D', 'M', 'F']	['V', 'RecPst', '3', 'Rpst']
mayqan	['Mayqa', 'n']	['D', 'M', 'M', 'M', 'F', 'U']	['PRON', 'Poss.3']
animalniiraq	['animal', 'ni', 'i', 'raq']	['D', 'M', 'M', 'M', 'M', 'F', 'D', 'F', 'U', 'D', 'M', 'F']	['N', 'Poss.1Sg', 'Inacp']
tsaychawmi	['Tsay', 'chaw', 'mi']	['D', 'M', 'M', 'F', 'D', 'M', 'M', 'F', 'D', 'F']	['PRON', 'Loc', 'Asrt']
kaykan	['ka', 'yka', 'n']	['D', 'F', 'D', 'M', 'F', 'U']	['AUX', 'Prog', '3']
perol	['Perol']	['D', 'M', 'M', 'M', 'F']	['N']
perol	['perol']	['D', 'M', 'M', 'M', 'F']	['N']
aruyaapuq	['aru', 'yaa', 'pu', 'q']	['D', 'M', 'F', 'D', 'M', 'F', 'D', 'F', 'U']	['VTr', 'Pl', 'Apl', 'Hab']
kada	['Kada']	['D', 'M', 'M', 'F']	['DET']
hunaq	['hunaq']	['D', 'M', 'M', 'M', 'F']	['N']
mas	['mas']	['D', 'M', 'F']	['ADV']
llakishqa	['llaki', 'shqa']	['D', 'M', 'M', 'M', 'F', 'D', 'M', 'M', 'F']	['VTr', 'Prf']
kanki	['ka', 'nki']	['D', 'F', 'D', 'M', 'F']	['AUX', '2']
tsaymi	['Tsay', 'mi']	['D', 'M', 'M', 'F', 'D', 'F']	['PRON', 'Asrt']
dyablu	['dyablu']	['D', 'M', 'M', 'M', 'M', 'F']	['N']
llapanwan	['llapa', 'n', 'wan']	['D', 'M', 'M', 'M', 'F', 'U', 'D', 'M', 'F']	['PRON', 'Poss.3', 'Com']
yanapamashqa	['yanapa', 'ma', 'shqa']	['D', 'M', 'M', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'M', 'F']	['VTr', '1.Obj', 'Prf']
tsaymi	['Tsay', 'mi']	['D', 'M', 'M', 'F', 'D', 'F']	['PRON', 'Asrt']
kada	['kada']	['D', 'M', 'M', 'F']	['DET']
hunaq	['hunaq']	['D', 'M', 'M', 'M', 'F']	['N']
mas	['mas']	['D', 'M', 'F']	['ADV']
abansamun	['abansa', 'mu', 'n']	['D', 'M', 'M', 'M', 'M', 'F', 'D', 'F', 'U']	['V', 'Cis', '3']
hatun	['Hatun']	['D', 'M', 'M', 'M', 'F']	['ADJ']
paqtsa	['paqtsa']	['D', 'M', 'M', 'M', 'M', 'F']	['N']
kan	['ka', 'n']	['D', 'F', 'U']	['AUX', '3']
rikaariyan	['Rikaa', 'ri', 'ya', 'n']	['D', 'M', 'M', 'M', 'F', 'D', 'F', 'D', 'F', 'U']	['VTr', 'Pct', 'Pl', '3']
hatun	['hatun']	['D', 'M', 'M', 'M', 'F']	['ADJ']
mantsanaypaq	['mantsa', 'na', 'y', 'paq']	['D', 'M', 'M', 'M', 'M', 'F', 'D', 'F', 'U', 'D', 'M', 'F']	['VTr', 'Prosp', 'Inf', 'Ben']
paqtsata	['paqtsa', 'ta']	['D', 'M', 'M', 'M', 'M', 'F', 'D', 'F']	['N', 'Obj']
ni	['Ni']	['D', 'F']	['ADV']
pi	['pi']	['D', 'F']	['PRON']
yaskintsu	['yaski', 'n', 'tsu']	['D', 'M', 'M', 'M', 'F', 'U', 'D', 'M', 'F']	['VTr', '3', 'Neg']
wayiman	['Wayi', 'man']	['D', 'M', 'M', 'F', 'D', 'M', 'F']	['N', 'Dat']
chaarir	['chaa', 'ri', 'r']	['D', 'M', 'M', 'F', 'D', 'F', 'U']	['VTr', 'Pct', 'Cnv']
patronninta	['patron', 'ni', 'n', 'ta']	['D', 'M', 'M', 'M', 'M', 'F', 'D', 'F', 'U', 'D', 'F']	['N', 'Poss.3', 'Obj']
entregarinaq	['entrega', 'ri', 'naq']	['D', 'M', 'M', 'M', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F']	['V', 'Pct', 'Rpst']
dokumentuta	['dokumentu', 'ta']	['D', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'F', 'D', 'F']	['N', 'Obj']
mamanllawan	['Mama', 'n', 'lla', 'wan']	['D', 'M', 'M', 'F', 'U', 'D', 'M', 'F', 'D', 'M', 'F']	['N', 'Poss.3', 'Lim', 'Com']
taakuyaanaq	['taa', 'ku', 'yaa', 'naq']	['D', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'D', 'M', 'F']	['VInt', 'Refl/Mid', 'Pl', 'Rpst']
pitaq	['Pi', 'taq']	['D', 'F', 'D', 'M', 'F']	['PRON', 'Ctrs']
taqshashunki	['taqsha', 'shu', 'nki']	['D', 'M', 'M', 'M', 'M', 'F', 'D', 'M', 'F', 'D', 'M', 'F']	['VTr', '3.Sbj', '2.Obj']
pitaq	['Pi', 'taq']	['D', 'F', 'D', 'M', 'F']	['PRON', 'Ctrs']
qarashunki	['qara', 'shu', 'nki']	['D', 'M', 'M', 'F', 'D', 'M', 'F', 'D', 'M', 'F']	['VTr', '3.Sbj', '2.Obj']
peru	['Peru']	['D', 'M', 'M', 'F']	['CCONJ']
nishqannaw	['ni', 'shqa', 'n', 'naw']	['D', 'F', 'D', 'M', 'M', 'F', 'U', 'D', 'M', 'F']	['VTr', 'Prf', 'Poss.3', 'Equ']
qallaykunaq	['qalla', 'yku', 'naq']	['D', 'M', 'M', 'M', 'F', 'D', 'M', 'F', 'D', 'M', 'F']	['VTr', 'Intens', 'Rpst']
arukur	['aru', 'ku', 'r']	['D', 'M', 'F', 'D', 'F', 'U']	['VTr', 'Refl/Mid', 'Cnv']
taqshakur	['taqsha', 'ku', 'r']	['D', 'M', 'M', 'M', 'M', 'F', 'D', 'F', 'U']	['VTr', 'Refl/Mid', 'Cnv']
i	['i']	['U']	['CCONJ']
wayinchaw	['wayi', 'n', 'chaw']	['D', 'M', 'M', 'F', 'U', 'D', 'M', 'M', 'F']	['N', 'Poss.3', 'Loc']
sapatukunata	['sapatu', 'kuna', 'ta']	['D', 'M', 'M', 'M', 'M', 'F', 'D', 'M', 'M', 'F', 'D', 'F']	['N', 'Pl', 'Obj']
rurapukur	['rura', 'pu', 'ku', 'r']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'F', 'U']	['VTr', 'Apl', 'Refl/Mid', 'Cnv']
tsaynam	['Tsay', 'na', 'm']	['D', 'M', 'M', 'F', 'D', 'F', 'U']	['PRON', 'Acp', 'Asrt']
kastankuna	['kasta', 'n', 'kuna']	['D', 'M', 'M', 'M', 'F', 'U', 'D', 'M', 'M', 'F']	['N', 'Poss.3', 'Pl']
ashiyaanaq	['ashi', 'yaa', 'naq']	['D', 'M', 'M', 'F', 'D', 'M', 'F', 'D', 'M', 'F']	['VTr', 'Pl', 'Rpst']
warmita	['warmi', 'ta']	['D', 'M', 'M', 'M', 'F', 'D', 'F']	['N', 'Obj']
ni	['Ni']	['D', 'F']	['ADV']
munayaanaqtsu	['muna', 'yaa', 'naq', 'tsu']	['D', 'M', 'M', 'F', 'D', 'M', 'F', 'D', 'M', 'F', 'D', 'M', 'F']	['VTr', 'Pl', 'Rpst', 'Neg']
tsaynam	['Tsay', 'na', 'm']	['D', 'M', 'M', 'F', 'D', 'F', 'U']	['PRON', 'Acp', 'Asrt']
llakishqa	['llaki', 'shqa']	['D', 'M', 'M', 'M', 'F', 'D', 'M', 'M', 'F']	['VTr', 'Prf']
kayaanaq	['ka', 'yaa', 'naq']	['D', 'F', 'D', 'M', 'F', 'D', 'M', 'F']	['AUX', 'Pl', 'Rpst']
kastankunapis	['kasta', 'n', 'kuna', 'pis']	['D', 'M', 'M', 'M', 'F', 'U', 'D', 'M', 'M', 'F', 'D', 'M', 'F']	['N', 'Poss.3', 'Pl', 'Coord']
tsayna	['Tsay', 'na']	['D', 'M', 'M', 'F', 'D', 'F']	['PRON', 'Acp']
señalariyarqan	['señala', 'ri', 'ya', 'rqa', 'n']	['D', 'M', 'M', 'M', 'M', 'F', 'D', 'F', 'D', 'F', 'D', 'M', 'F', 'U']	['V', 'Pct', 'Pl', 'Pst', '3']
kasatsiyaananpaq	['kasa', 'tsi', 'yaa', 'na', 'n', 'paq']	['D', 'M', 'M', 'F', 'D', 'M', 'F', 'D', 'M', 'F', 'D', 'F', 'U', 'D', 'M', 'F']	['VTr', 'Caus', 'Pl', 'Pot', 'Poss.3', 'Ben']
porfin	['Porfin']	['D', 'M', 'M', 'M', 'M', 'F']	['ADV']
chaaramurqan	['chaa', 'ra', 'mu', 'rqa', 'n']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'F', 'D', 'M', 'F', 'U']	['VTr', 'Pct', 'Cis', 'Pst', '3']
señalashqa	['señala', 'shqa']	['D', 'M', 'M', 'M', 'M', 'F', 'D', 'M', 'M', 'F']	['V', 'Prf']
hunaq	['hunaq']	['D', 'M', 'M', 'M', 'F']	['N']
imanawtaq	['Imanaw', 'taq']	['D', 'M', 'M', 'M', 'M', 'F', 'D', 'M', 'F']	['ADV', 'Ctrs']
tsaypinqa	['tsaypin', 'qa']	['D', 'M', 'M', 'M', 'M', 'M', 'F', 'D', 'F']	['ADV', 'Top']
nuqa	['nuqa']	['D', 'M', 'M', 'F']	['PRON.Prs']
arushaq	['aru', 'shaq']	['D', 'M', 'F', 'D', 'M', 'M', 'F']	['VTr', 'Fut.1']
kikinllapaqqa	['Kiki', 'n', 'lla', 'paq', 'qa']	['D', 'M', 'M', 'F', 'U', 'D', 'M', 'F', 'D', 'M', 'F', 'D', 'F']	['PRON.Refl', 'Poss.3', 'Lim', 'Ben', 'Top']
kusa	['kusa']	['D', 'M', 'M', 'F']	['ADV']
shumaq	['shumaq']	['D', 'M', 'M', 'M', 'M', 'F']	['ADJ']
upallallana	['Upalla', 'lla', 'na']	['D', 'M', 'M', 'M', 'M', 'F', 'D', 'M', 'F', 'D', 'F']	['ADV', 'Lim', 'Acp']
kakunaq	['ka', 'ku', 'naq']	['D', 'F', 'D', 'F', 'D', 'M', 'F']	['AUX', 'Refl/Mid', 'Rpst']
sinoqa	['Sino', 'qa']	['D', 'M', 'M', 'F', 'D', 'F']	['CCONJ', 'Top']
tsuriykita	['tsuri', 'yki', 'ta']	['D', 'M', 'M', 'M', 'F', 'D', 'M', 'F', 'D', 'F']	['N', 'Poss.2', 'Obj']
i	['I']	['U']	['CCONJ']
despwes	['despwes']	['D', 'M', 'M', 'M', 'M', 'M', 'F']	['ADV']
dokumentunchaw	['dokumentu', 'n', 'chaw']	['D', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'F', 'U', 'D', 'M', 'M', 'F']	['N', 'Poss.3', 'Loc']
firmarapunaq	['firma', 'ra', 'pu', 'naq']	['D', 'M', 'M', 'M', 'F', 'D', 'F', 'D', 'F', 'D', 'M', 'F']	['V', 'Pct', 'Apl', 'Rpst']
tsaytsika	['Tsaytsika']	['D', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'F']	['PRON']
imaykapis	['imayka']	['D', 'M', 'M', 'M', 'M', 'F']	['PRON']
kaykaptin	['ka', 'yka', 'pti', 'n']	['D', 'F', 'D', 'M', 'F', 'D', 'M', 'F', 'U']	['AUX', 'Prog', 'Cnv', 'Poss.3']
nuna	['nuna']	['D', 'M', 'M', 'F']	['N']
mas	['mas']	['D', 'M', 'F']	['ADV']
llakishqa	['llaki', 'shqa']	['D', 'M', 'M', 'M', 'F', 'D', 'M', 'M', 'F']	['VTr', 'Prf']
tikrakurinaq	['tikra', 'ku', 'ri', 'naq']	['D', 'M', 'M', 'M', 'F', 'D', 'F', 'D', 'F', 'D', 'M', 'F']	['VTr', 'Refl/Mid', 'Pct', 'Rpst']
kada	['kada']	['D', 'M', 'M', 'F']	['DET']
hunaq	['hunaq']	['D', 'M', 'M', 'M', 'F']	['N']
i	['I']	['U']	['CCONJ']
despwesmi	['despwes', 'mi']	['D', 'M', 'M', 'M', 'M', 'M', 'F', 'D', 'F']	['ADV', 'Asrt']
porfin	['porfin']	['D', 'M', 'M', 'M', 'M', 'F']	['ADV']
willaykunaq	['willa', 'yku', 'naq']	['D', 'M', 'M', 'M', 'F', 'D', 'M', 'F', 'D', 'M', 'F']	['VTr', 'Intens', 'Rpst']
i	['I']	['U']	['CCONJ']
tsaymi	['tsay', 'mi']	['D', 'M', 'M', 'F', 'D', 'F']	['PRON', 'Asrt']
llakishqa	['llaki', 'shqa']	['D', 'M', 'M', 'M', 'F', 'D', 'M', 'M', 'F']	['VTr', 'Prf']
yamtata	['yamta', 'ta']	['D', 'M', 'M', 'M', 'F', 'D', 'F']	['N', 'Obj']
ashikuykarqaa	['ashi', 'ku', 'yka', 'rqa', 'a']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'D', 'M', 'F', 'U']	['VTr', 'Refl/Mid', 'Prog', 'Pst', '1']
tsaymi	['Tsay', 'mi']	['D', 'M', 'M', 'F', 'D', 'F']	['PRON', 'Asrt']
munarqaatsu	['muna', 'rqa', 'a', 'tsu']	['D', 'M', 'M', 'F', 'D', 'M', 'F', 'U', 'D', 'M', 'F']	['VTr', 'Pst', '1', 'Neg']
porfin	['Porfin']	['D', 'M', 'M', 'M', 'M', 'F']	['ADV']
tsurin	['tsuri', 'n']	['D', 'M', 'M', 'M', 'F', 'U']	['N', 'Poss.3']
puqurinaq	['puqu', 'ri', 'naq']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F']	['VInt', 'Pct', 'Rpst']
i	['I']	['U']	['CCONJ']
tsaymi	['tsay', 'mi']	['D', 'M', 'M', 'F', 'D', 'F']	['PRON', 'Asrt']
wayiman	['wayi', 'man']	['D', 'M', 'M', 'F', 'D', 'M', 'F']	['N', 'Dat']
chaarinaq	['chaa', 'ri', 'naq']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F']	['VTr', 'Pct', 'Rpst']
payqa	['Pay', 'qa']	['D', 'M', 'F', 'D', 'F']	['PRON.Prs', 'Top']
nunallatam	['nuna', 'lla', 'ta', 'm']	['D', 'M', 'M', 'F', 'D', 'M', 'F', 'D', 'F', 'U']	['N', 'Lim', 'Obj', 'Asrt']
mikun	['miku', 'n']	['D', 'M', 'M', 'F', 'U']	['VTr', '3']
mayllamanpis	['May', 'lla', 'man']	['D', 'M', 'F', 'D', 'M', 'F', 'D', 'M', 'F']	['PRON', 'Lim', 'Dat']
pakaykamay	['paka', 'yka', 'ma', 'y']	['D', 'M', 'M', 'F', 'D', 'M', 'F', 'D', 'F', 'U']	['V', 'Intens', '1.Obj', 'Imp.2']
tardina	['Tardi', 'na']	['D', 'M', 'M', 'M', 'F', 'D', 'F']	['N', 'Acp']
wayinman	['wayi', 'n', 'man']	['D', 'M', 'M', 'F', 'U', 'D', 'M', 'F']	['N', 'Poss.3', 'Dat']
kutirirqunaq	['kuti', 'ri', 'rqu', 'naq']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'D', 'M', 'F']	['VInt', 'Pct', 'RecPst', '3', 'Rpst']
almannaq	['alma', 'nnaq']	['D', 'M', 'M', 'F', 'D', 'M', 'M', 'F']	['N', 'Prv']
nunaqa	['nuna', 'qa']	['D', 'M', 'M', 'F', 'D', 'F']	['N', 'Top']
turillaami	['Turi', 'lla', 'a', 'mi']	['D', 'M', 'M', 'F', 'D', 'M', 'F', 'U', 'D', 'F']	['N', 'Lim', 'Poss.1Sg', 'Asrt']
chaamushqa	['chaa', 'mu', 'shqa']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'M', 'F']	['VTr', 'Cis', 'Prf']
nishaqmi	['ni', 'shaq', 'mi']	['D', 'F', 'D', 'M', 'M', 'F', 'D', 'F']	['VTr', 'Fut.1', 'Asrt']
tsaynam	['Tsay', 'na', 'm']	['D', 'M', 'M', 'F', 'D', 'F', 'U']	['PRON', 'Acp', 'Asrt']
wamraqa	['wamra', 'qa']	['D', 'M', 'M', 'M', 'F', 'D', 'F']	['N', 'Top']
willarqunaq	['willa', 'rqu', 'naq']	['D', 'M', 'M', 'M', 'F', 'D', 'M', 'F', 'D', 'M', 'F']	['VTr', 'RecPst', '3', 'Rpst']
swertintana	['swerti', 'n', 'ta', 'na']	['D', 'M', 'M', 'M', 'M', 'F', 'U', 'D', 'F', 'D', 'F']	['N', 'Poss.3', 'Obj', 'Acp']
nunata	['nuna', 'ta']	['D', 'M', 'M', 'F', 'D', 'F']	['N', 'Obj']
niptin	['Ni', 'pti', 'n']	['D', 'F', 'D', 'M', 'F', 'U']	['VTr', 'Cnv', 'Poss.3']
wamraqa	['wamra', 'qa']	['D', 'M', 'M', 'M', 'F', 'D', 'F']	['N', 'Top']
kushillaanaq	['kushi', 'llaa', 'naq']	['D', 'M', 'M', 'M', 'F', 'D', 'M', 'M', 'F', 'D', 'M', 'F']	['VInt', 'Lim', 'Rpst']
tsaychawqa	['Tsay', 'chaw', 'qa']	['D', 'M', 'M', 'F', 'D', 'M', 'M', 'F', 'D', 'F']	['PRON', 'Loc', 'Top']
maa	['maa']	['D', 'M', 'F']	['ADV']
shumaq	['shumaq']	['D', 'M', 'M', 'M', 'M', 'F']	['ADJ']
naani	['naani']	['D', 'M', 'M', 'M', 'F']	['N']
karqunaq	['ka', 'rqu', 'naq']	['D', 'F', 'D', 'M', 'F', 'D', 'M', 'F']	['AUX', 'RecPst', '3', 'Rpst']
mas	['Mas']	['D', 'M', 'F']	['ADV']
mas	['mas']	['D', 'M', 'F']	['ADV']
aywayaptin	['aywa', 'ya', 'pti', 'n']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'U']	['VTr', 'Pl', 'Cnv', 'Poss.3']
quñumunaq	['quñu', 'mu', 'naq']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F']	['V', 'Cis', 'Rpst']
fwerti	['fwerti']	['D', 'M', 'M', 'M', 'M', 'F']	['ADJ']
i	['I']	['U']	['CCONJ']
wamraqa	['wamra', 'qa']	['D', 'M', 'M', 'M', 'F', 'D', 'F']	['N', 'Top']
alalaw	['alalaw']	['D', 'M', 'M', 'M', 'M', 'F']	['INTJ']
ninaqlla	['ni', 'na', 'q', 'lla']	['D', 'F', 'D', 'F', 'U', 'D', 'M', 'F']	['VTr', 'Prosp', 'Agt', 'Lim']
tsaytana	['Tsay', 'ta', 'na']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'F']	['PRON', 'Obj', 'Acp']
tsaktakuyan	['tsakta', 'ku', 'ya', 'n']	['D', 'M', 'M', 'M', 'M', 'F', 'D', 'F', 'D', 'F', 'U']	['VTr', 'Refl/Mid', 'Pl', '3']
punkuta	['Punku', 'ta']	['D', 'M', 'M', 'M', 'F', 'D', 'F']	['N', 'Obj']
kichariptin	['kicha', 'ri', 'pti', 'n']	['D', 'M', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'U']	['VTr', 'Pct', 'Cnv', 'Poss.3']
yaykuriyan	['yayku', 'ri', 'ya', 'n']	['D', 'M', 'M', 'M', 'F', 'D', 'F', 'D', 'F', 'U']	['VTr', 'Pct', 'Pl', '3']
tsayna	['Tsay', 'na']	['D', 'M', 'M', 'F', 'D', 'F']	['PRON', 'Acp']
ni	['ni']	['D', 'F']	['ADV']
mayqan	['mayqa', 'n']	['D', 'M', 'M', 'M', 'F', 'U']	['PRON', 'Poss.3']
dyablu	['dyablu']	['D', 'M', 'M', 'M', 'M', 'F']	['N']
yaskiyantsu	['yaski', 'ya', 'n', 'tsu']	['D', 'M', 'M', 'M', 'F', 'D', 'F', 'U', 'D', 'M', 'F']	['VTr', 'Pl', '3', 'Neg']
despwes	['Despwes']	['D', 'M', 'M', 'M', 'M', 'M', 'F']	['ADV']
entregarirqunaq	['entrega', 'ri', 'rqu', 'naq']	['D', 'M', 'M', 'M', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'D', 'M', 'F']	['V', 'Pct', 'RecPst', '3', 'Rpst']
munashqaatam	['Muna', 'shqa', 'a', 'ta', 'm']	['D', 'M', 'M', 'F', 'D', 'M', 'M', 'F', 'U', 'D', 'F', 'U']	['VTr', 'Prf', 'Poss.1Sg', 'Obj', 'Asrt']
nuqaqa	['nuqa', 'qa']	['D', 'M', 'M', 'F', 'D', 'F']	['PRON.Prs', 'Top']
rurakunaa	['rura', 'ku', 'na', 'a']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'F', 'U']	['VTr', 'Refl/Mid', 'Pot', 'Poss.1Sg']
imay	['Imay']	['D', 'M', 'M', 'F']	['PRON']
patsapita	['patsa', 'pita']	['D', 'M', 'M', 'M', 'F', 'D', 'M', 'M', 'F']	['N', 'Abl']
tsaymi	['Tsay', 'mi']	['D', 'M', 'M', 'F', 'D', 'F']	['PRON', 'Asrt']
ayllukarkur	['ayllu', 'ka', 'rku', 'r']	['D', 'M', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'U']	['VTr', 'Pass', 'Edu', 'Cnv']
shayaamurqan	['sha', 'sha', 'sha', 'sha', 'sha']	['D', 'M', 'F', 'D', 'M', 'F', 'D', 'M', 'F', 'D', 'M', 'F', 'D', 'M', 'F']	['VInt', 'Pl', 'Cis', 'Pst', '3']
tsaymi	['Tsay', 'mi']	['D', 'M', 'M', 'F', 'D', 'F']	['PRON', 'Asrt']
nuqaqa	['nuqa', 'qa']	['D', 'M', 'M', 'F', 'D', 'F']	['PRON.Prs', 'Top']
achka	['achka']	['D', 'M', 'M', 'M', 'F']	['ADV']
qillayniita	['qillay', 'ni', 'i', 'ta']	['D', 'M', 'M', 'M', 'M', 'F', 'D', 'F', 'U', 'D', 'F']	['N', 'Poss.1Sg', 'Obj']
pashtaratsipurqaa	['pashta', 'ra', 'tsi', 'pu', 'rqa', 'a']	['D', 'M', 'M', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'U']	['VInt', 'Pct', 'Caus', 'Apl', 'Pst', '1']
hatun	['Hatun']	['D', 'M', 'M', 'M', 'F']	['ADJ']
apu	['Apu']	['D', 'M', 'F']	['N']
taytakuna	['tayta', 'kuna']	['D', 'M', 'M', 'M', 'F', 'D', 'M', 'M', 'F']	['N', 'Pl']
imaraq	['Ima', 'raq']	['D', 'M', 'F', 'D', 'M', 'F']	['PRON', 'Inacp']
karqun	['ka', 'rqu', 'n']	['D', 'F', 'D', 'M', 'F', 'U']	['AUX', 'RecPst', '3']
nirqaami	['ni', 'rqa', 'a', 'mi']	['D', 'F', 'D', 'M', 'F', 'U', 'D', 'F']	['VTr', 'Pst', '1', 'Asrt']
nuqa	['nuqa']	['D', 'M', 'M', 'F']	['PRON.Prs']
haq	['Haq']	['D', 'M', 'F']	['N']
marka	['marka']	['D', 'M', 'M', 'M', 'F']	['N']
killapis	['Killa', 'pis']	['D', 'M', 'M', 'M', 'F', 'D', 'M', 'F']	['N', 'Coord']
watapis	['wata', 'pis']	['D', 'M', 'M', 'F', 'D', 'M', 'F']	['N', 'Coord']
unayran	['unay', 'ran']	['D', 'M', 'M', 'F', 'D', 'M', 'F']	['N', 'Inacp']
kutiykur	['kuti', 'yku', 'r']	['D', 'M', 'M', 'F', 'D', 'M', 'F', 'U']	['VInt', 'Intens', 'Cnv']
kutiykur	['kuti', 'yku', 'r']	['D', 'M', 'M', 'F', 'D', 'M', 'F', 'U']	['VInt', 'Intens', 'Cnv']
tumamurqan	['tuma', 'mu', 'rqa', 'n']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'U']	['VTr', 'Cis', 'Pst', '3']
awmi	['Awmi']	['D', 'M', 'M', 'F']	['INTJ']
tayta	['Tayta']	['D', 'M', 'M', 'M', 'F']	['N']
imanaw	['imanaw']	['D', 'M', 'M', 'M', 'M', 'F']	['ADV']
upyayanqanta	['upya', 'ya', 'nqa', 'n', 'ta']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'U', 'D', 'F']	['VTr', 'Pl', 'Sub', 'Poss.3', 'Obj']
imanaw	['imanaw']	['D', 'M', 'M', 'M', 'M', 'F']	['ADV']
ishpayanqanta	['ishpa', 'ya', 'nqa', 'n', 'ta']	['D', 'M', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'U', 'D', 'F']	['VInt', 'Pl', 'Sub', 'Poss.3', 'Obj']
manam	['mana', 'm']	['D', 'M', 'M', 'F', 'U']	['ADV', 'Asrt']
maakuyannatsu	['maaku', 'ya', 'n', 'na', 'tsu']	['D', 'M', 'M', 'M', 'F', 'D', 'F', 'U', 'D', 'F', 'D', 'M', 'F']	['VTr', 'Pl', '3', 'Acp', 'Neg']
waray	['Waray']	['D', 'M', 'M', 'M', 'F']	['N']
paqasllam	['paqas', 'lla', 'm']	['D', 'M', 'M', 'M', 'F', 'D', 'M', 'F', 'U']	['N', 'Lim', 'Asrt']
yarquyan	['yarqu', 'ya', 'n']	['D', 'M', 'M', 'M', 'F', 'D', 'F', 'U']	['VTr', 'Pl', '3']
umankunachawmi	['Uma', 'n', 'kuna', 'chaw', 'mi']	['D', 'M', 'F', 'U', 'D', 'M', 'M', 'F', 'D', 'M', 'M', 'F', 'D', 'F']	['N', 'Poss.3', 'Pl', 'Loc', 'Asrt']
yarpakachaykaayan	['yarpa', 'kacha', 'ykaa', 'ya', 'n']	['D', 'M', 'M', 'M', 'F', 'D', 'M', 'M', 'M', 'F', 'D', 'M', 'M', 'F', 'D', 'F', 'U']	['VTr', 'Iter', 'Prog', 'Pl', '3']
