	TOKEN	MORPH	SEG_BME	LABEL
1205	aywakunaq	['aywa', 'ku', 'naq']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F']	['VTr', 'Refl/Mid', 'Rpst']
1206	nunaqa	['nuna', 'qa']	['D', 'M', 'M', 'F', 'D', 'F']	['N', 'Top']
1207	payllana	['Pay', 'lla', 'na']	['D', 'M', 'F', 'D', 'M', 'F', 'D', 'F']	['PRON.Prs', 'Lim', 'Acp']
1208	wamrantsikta	['wamra', 'ntsik', 'ta']	['D', 'M', 'M', 'M', 'F', 'D', 'M', 'M', 'M', 'F', 'D', 'F']	['N', 'Poss.1Pl.Inc', 'Obj']
1209	ushaykatsimutsun	['usha', 'yka', 'tsi', 'mu', 'tsun']	['D', 'M', 'M', 'F', 'D', 'M', 'F', 'D', 'M', 'F', 'D', 'F', 'D', 'M', 'M', 'F']	['VTr', 'Prog', 'Caus', 'Cis', 'Imp.3']
1210	niptinna	['Ni', 'pti', 'n', 'na']	['D', 'F', 'D', 'M', 'F', 'U', 'D', 'F']	['VTr', 'Cnv', 'Poss.3', 'Acp']
1211	warmiqa	['warmi', 'qa']	['D', 'M', 'M', 'M', 'F', 'D', 'F']	['N', 'Top']
1212	kushishqa	['kushi', 'shqa']	['D', 'M', 'M', 'M', 'F', 'D', 'M', 'M', 'F']	['VInt', 'Prf']
1213	aseptarinaq	['asepta', 'ri', 'naq']	['D', 'M', 'M', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F']	['V', 'Pct', 'Rpst']
1214	pulla	['Pulla']	['D', 'M', 'M', 'M', 'F']	['N']
1215	paqasna	['paqas', 'na']	['D', 'M', 'M', 'M', 'F', 'D', 'F']	['N', 'Acp']
1216	yurirqunaq	['yuri', 'rqu', 'naq']	['D', 'M', 'M', 'F', 'D', 'M', 'F', 'D', 'M', 'F']	['VInt', 'RecPst', '3', 'Rpst']
1217	tsaypitam	['Tsay', 'pita', 'm']	['D', 'M', 'M', 'F', 'D', 'M', 'M', 'F', 'U']	['PRON', 'Abl', 'Asrt']
1218	kondenadu	['kondenadu']	['D', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'F']	['N']
1219	kaa	['ka', 'a']	['D', 'F', 'U']	['AUX', '1']
1220	salbakunaapaq	['Salba', 'ku', 'na', 'a', 'paq']	['D', 'M', 'M', 'M', 'F', 'D', 'F', 'D', 'F', 'U', 'D', 'M', 'F']	['VTr', 'Refl/Mid', 'Pot', 'Poss.1Sg', 'Ben']
1221	munaa	['muna', 'a']	['D', 'M', 'M', 'F', 'U']	['VTr', '1']
1222	deduykita	['dedu', 'yki', 'ta']	['D', 'M', 'M', 'F', 'D', 'M', 'F', 'D', 'F']	['N', 'Poss.2', 'Obj']
1223	makyaramaanaykitam	['makya', 'ra', 'maa', 'na', 'yki', 'ta', 'm']	['D', 'M', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'D', 'F', 'U']	['VTr', 'Pct', '1.Obj', 'Pot', 'Poss.2', 'Obj', 'Asrt']
1224	tsaynash	['Tsay', 'na', 'sh']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'F']	['PRON', 'Acp', 'Nfh']
1225	uyu	['uyu']	['D', 'M', 'F']	['ADJ']
1226	nunaqa	['nuna', 'qa']	['D', 'M', 'M', 'F', 'D', 'F']	['N', 'Top']
1227	nin	['ni', 'n']	['D', 'F', 'U']	['VTr', '3']
1228	mayta	['May', 'ta']	['D', 'M', 'F', 'D', 'F']	['PRON', 'Obj']
1229	aywanki	['aywa', 'nki']	['D', 'M', 'M', 'F', 'D', 'M', 'F']	['VTr', '2']
1230	tsayna	['Tsay', 'na']	['D', 'M', 'M', 'F', 'D', 'F']	['PRON', 'Acp']
1231	uyu	['uyu']	['D', 'M', 'F']	['ADJ']
1232	nunaqa	['nuna', 'qa']	['D', 'M', 'M', 'F', 'D', 'F']	['N', 'Top']
1233	nin	['ni', 'n']	['D', 'F', 'U']	['VTr', '3']
1234	nuqa	['Nuqa']	['D', 'M', 'M', 'F']	['PRON.Prs']
1235	wamraykita	['wamra', 'yki', 'ta']	['D', 'M', 'M', 'M', 'F', 'D', 'M', 'F', 'D', 'F']	['N', 'Poss.2', 'Obj']
1236	ushaykatsimushaq	['usha', 'yka', 'tsi', 'mu', 'shaq']	['D', 'M', 'M', 'F', 'D', 'M', 'F', 'D', 'M', 'F', 'D', 'F', 'D', 'M', 'M', 'F']	['VTr', 'Prog', 'Caus', 'Cis', 'Fut.1']
1237	ratashninpis	['Ratash', 'ni', 'n', 'pis']	['D', 'M', 'M', 'M', 'M', 'F', 'D', 'F', 'U', 'D', 'M', 'F']	['N', 'Poss.3', 'Coord']
1238	nuqam	['nuqa', 'm']	['D', 'M', 'M', 'F', 'U']	['PRON.Prs', 'Asrt']
1239	apamushaq	['apa', 'mu', 'shaq']	['D', 'M', 'F', 'D', 'F', 'D', 'M', 'M', 'F']	['VTr', 'Cis', 'Fut.1']
1240	tsaymanmi	['Tsay', 'man', 'mi']	['D', 'M', 'M', 'F', 'D', 'M', 'F', 'D', 'F']	['PRON', 'Dat', 'Asrt']
1241	chaamushaq	['chaa', 'mu', 'shaq']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'M', 'F']	['VTr', 'Cis', 'Fut.1']
1242	niptinna	['Ni', 'pti', 'n', 'na']	['D', 'F', 'D', 'M', 'F', 'U', 'D', 'F']	['VTr', 'Cnv', 'Poss.3', 'Acp']
1243	munarqunaqtsu	['muna', 'rqu', 'naq', 'tsu']	['D', 'M', 'M', 'F', 'D', 'M', 'F', 'D', 'M', 'F', 'D', 'M', 'F']	['VTr', 'RecPst', '3', 'Rpst', 'Neg']
1244	manam	['Mana', 'm']	['D', 'M', 'M', 'F', 'U']	['ADV', 'Asrt']
1245	nuqaqa	['nuqa', 'qa']	['D', 'M', 'M', 'F', 'D', 'F']	['PRON.Prs', 'Top']
1246	mikuutsu	['miku', 'u', 'tsu']	['D', 'M', 'M', 'F', 'U', 'D', 'M', 'F']	['VTr', '1', 'Neg']
1247	chaaramunaqna	['Chaa', 'ra', 'mu', 'naq', 'na']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'F', 'D', 'M', 'F', 'D', 'F']	['VTr', 'Pct', 'Cis', 'Rpst', 'Acp']
1248	sitashqa	['sita', 'shqa']	['D', 'M', 'M', 'F', 'D', 'M', 'M', 'F']	['V', 'Prf']
1249	diyaqa	['diya', 'qa']	['D', 'M', 'M', 'F', 'D', 'F']	['N', 'Top']
1250	listu	['Listu']	['D', 'M', 'M', 'M', 'F']	['ADJ']
1251	kanki	['ka', 'nki']	['D', 'F', 'D', 'M', 'F']	['AUX', '2']
1252	porfin	['Porfin']	['D', 'M', 'M', 'M', 'M', 'F']	['ADV']
1253	kompadrinqa	['kompadri', 'n', 'qa']	['D', 'M', 'M', 'M', 'M', 'M', 'M', 'F', 'U', 'D', 'F']	['N', 'Poss.3', 'Top']
1254	chaarirqunaq	['chaa', 'ri', 'rqu', 'naq']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'D', 'M', 'F']	['VTr', 'Pct', 'RecPst', '3', 'Rpst']
1255	limpunam	['Limpu', 'na', 'm']	['D', 'M', 'M', 'M', 'F', 'D', 'F', 'U']	['ADV', 'Acp', 'Asrt']
1256	kañaa	['kaña', 'a']	['D', 'M', 'M', 'F', 'U']	['N', 'Poss.1Sg']
1257	perdirin	['perdi', 'ri', 'n']	['D', 'M', 'M', 'M', 'F', 'D', 'F', 'U']	['V', 'Pct', '3']
1258	pasarinnam	['Pasa', 'ri', 'n', 'na', 'm']	['D', 'M', 'M', 'F', 'D', 'F', 'U', 'D', 'F', 'U']	['VInt', 'Pct', '3', 'Acp', 'Asrt']
1259	puqur	['puqu', 'r']	['D', 'M', 'M', 'F', 'U']	['VInt', 'Cnv']
1260	nuqaqa	['Nuqa', 'qa']	['D', 'M', 'M', 'F', 'D', 'F']	['PRON.Prs', 'Top']
1261	atskaq	['atskaq']	['D', 'M', 'M', 'M', 'M', 'F']	['ADV']
1262	qillayyuqchi	['qillay', 'yuq', 'chi']	['D', 'M', 'M', 'M', 'M', 'F', 'D', 'M', 'F', 'D', 'M', 'F']	['N', 'Orn', 'Conjc']
1263	nirqaami	['ni', 'rqa', 'a', 'mi']	['D', 'F', 'D', 'M', 'F', 'U', 'D', 'F']	['VTr', 'Pst', '1', 'Asrt']
1264	manam	['Mana', 'm']	['D', 'M', 'M', 'F', 'U']	['ADV', 'Asrt']
1265	ni	['ni']	['D', 'F']	['ADV']
1266	imata	['ima', 'ta']	['D', 'M', 'F', 'D', 'F']	['PRON', 'Obj']
1267	qam	['qam']	['D', 'M', 'F']	['PRON.Prs']
1268	churamunkitsu	['chura', 'mu', 'nki', 'tsu']	['D', 'M', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'D', 'M', 'F']	['VTr', 'Cis', '2', 'Neg']
1269	ni	['ni']	['D', 'F']	['ADV']
1270	imapaq	['ima', 'paq']	['D', 'M', 'F', 'D', 'M', 'F']	['PRON', 'Ben']
1271	ama	['Ama']	['D', 'M', 'F']	['ADV']
1272	ni	['ni']	['D', 'F']	['ADV']
1273	pi	['pi']	['D', 'F']	['PRON']
1274	ni	['ni']	['D', 'F']	['ADV']
1275	qampis	['qam', 'pis']	['D', 'M', 'F', 'D', 'M', 'F']	['PRON.Prs', 'Coord']
1276	shamunkitsu	['shamu', 'nki', 'tsu']	['D', 'M', 'M', 'M', 'F', 'D', 'M', 'F', 'D', 'M', 'F']	['VTr', '2', 'Neg']
1277	nuqallam	['Nuqa', 'lla', 'm']	['D', 'M', 'M', 'F', 'D', 'M', 'F', 'U']	['PRON.Prs', 'Lim', 'Asrt']
1278	uryatsishaq	['urya', 'tsi', 'shaq']	['D', 'M', 'M', 'F', 'D', 'M', 'F', 'D', 'M', 'M', 'F']	['VTr', 'Caus', 'Fut.1']
1279	niqllapistsu	['Ni', 'q', 'lla', 'pis', 'tsu']	['D', 'F', 'U', 'D', 'M', 'F', 'D', 'M', 'F', 'D', 'M', 'F']	['VTr', 'Agt', 'Lim', 'Coord', 'Neg']
1280	fabrika	['Fabrika']	['D', 'M', 'M', 'M', 'M', 'M', 'F']	['N']
1281	kaptinpis	['ka', 'pti', 'n', 'pis']	['D', 'F', 'D', 'M', 'F', 'U', 'D', 'M', 'F']	['AUX', 'Cnv', 'Poss.3', 'Coord']
1282	imanawmi	['imanaw', 'mi']	['D', 'M', 'M', 'M', 'M', 'F', 'D', 'F']	['ADV', 'Asrt']
1283	kañata	['kaña', 'ta']	['D', 'M', 'M', 'F', 'D', 'F']	['N', 'Obj']
1284	ashtamushaq	['ashta', 'mu', 'shaq']	['D', 'M', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'M', 'F']	['VTr', 'Cis', 'Fut.1']
1285	karupita	['karu', 'pita']	['D', 'M', 'M', 'F', 'D', 'M', 'M', 'F']	['N', 'Abl']
1286	tsayran	['Tsayran']	['D', 'M', 'M', 'M', 'M', 'M', 'F']	['ADV']
1287	apanki	['apa', 'nki']	['D', 'M', 'F', 'D', 'M', 'F']	['VTr', '2']
1288	tsuriita	['tsuri', 'i', 'ta']	['D', 'M', 'M', 'M', 'F', 'U', 'D', 'F']	['N', 'Poss.1Sg', 'Obj']
1289	makinata	['Makina', 'ta']	['D', 'M', 'M', 'M', 'M', 'F', 'D', 'F']	['N', 'Obj']
1290	don	['don']	['D', 'M', 'F']	['N']
1291	enrique	['Enrique']	['D', 'M', 'M', 'M', 'M', 'M', 'F']	['PROPN']
1292	rantirinaq	['ranti', 'ri', 'naq']	['D', 'M', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F']	['VTr', 'Pct', 'Rpst']
1293	qamqa	['Qam', 'qa']	['D', 'M', 'F', 'D', 'F']	['PRON.Prs', 'Top']
1294	maytachi	['may', 'ta', 'chi']	['D', 'M', 'F', 'D', 'F', 'D', 'M', 'F']	['PRON', 'Obj', 'Conjc']
1295	apakuyta	['apa', 'ku', 'y', 'ta']	['D', 'M', 'F', 'D', 'F', 'U', 'D', 'F']	['VTr', 'Refl/Mid', 'Inf', 'Obj']
1296	munanki	['muna', 'nki']	['D', 'M', 'M', 'F', 'D', 'M', 'F']	['VTr', '2']
1297	tsuriita	['tsuri', 'i', 'ta']	['D', 'M', 'M', 'M', 'F', 'U', 'D', 'F']	['N', 'Poss.1Sg', 'Obj']
1298	huklla	['Huklla']	['D', 'M', 'M', 'M', 'M', 'F']	['ADV']
1299	qillaychaw	['qillay', 'chaw']	['D', 'M', 'M', 'M', 'M', 'F', 'D', 'M', 'M', 'F']	['N', 'Loc']
1300	kobramay	['kobra', 'ma', 'y']	['D', 'M', 'M', 'M', 'F', 'D', 'F', 'U']	['VTr', '1.Obj', 'Imp.2']
1301	kutimushaq	['Kuti', 'mu', 'shaq']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'M', 'F']	['VInt', 'Cis', 'Fut.1']
1302	karullachawmi	['Karu', 'lla', 'chaw', 'mi']	['D', 'M', 'M', 'F', 'D', 'M', 'F', 'D', 'M', 'M', 'F', 'D', 'F']	['N', 'Lim', 'Loc', 'Asrt']
1303	punukuyashqa	['punu', 'ku', 'ya', 'shqa']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'F', 'D', 'M', 'M', 'F']	['VInt', 'Refl/Mid', 'Pl', 'Prf']
1304	kada	['kada']	['D', 'M', 'M', 'F']	['DET']
1305	ampi	['ampi']	['D', 'M', 'M', 'F']	['N']
1306	señalashqan	['Señala', 'shqa', 'n']	['D', 'M', 'M', 'M', 'M', 'F', 'D', 'M', 'M', 'F', 'U']	['V', 'Prf', 'Poss.3']
1307	hunaq	['hunaq']	['D', 'M', 'M', 'M', 'F']	['N']
1308	chaaramurqunaq	['chaa', 'ra', 'mu', 'rqu', 'naq']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'F', 'D', 'M', 'F', 'D', 'M', 'F']	['VTr', 'Pct', 'Cis', 'RecPst', '3', 'Rpst']
1309	aywaykarna	['Aywa', 'yka', 'r', 'na']	['D', 'M', 'M', 'F', 'D', 'M', 'F', 'U', 'D', 'F']	['VTr', 'Prog', 'Cnv', 'Acp']
1310	ampipukuykunaq	['ampi', 'pu', 'ku', 'yku', 'naq']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'F', 'D', 'M', 'F', 'D', 'M', 'F']	['VInt', 'Apl', 'Refl/Mid', 'Intens', 'Rpst']
1311	punkuta	['Punku', 'ta']	['D', 'M', 'M', 'M', 'F', 'D', 'F']	['N', 'Obj']
1312	kichariptin	['kicha', 'ri', 'pti', 'n']	['D', 'M', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'U']	['VTr', 'Pct', 'Cnv', 'Poss.3']
1313	quwan	['quwa', 'n']	['D', 'M', 'M', 'F', 'U']	['N', 'Poss.3']
1314	yaykurinaq	['yayku', 'ri', 'naq']	['D', 'M', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F']	['VTr', 'Pct', 'Rpst']
1315	quwanqa	['Quwa', 'n', 'qa']	['D', 'M', 'M', 'F', 'U', 'D', 'F']	['N', 'Poss.3', 'Top']
1316	upallalla	['upalla', 'lla']	['D', 'M', 'M', 'M', 'M', 'F', 'D', 'M', 'F']	['ADV', 'Lim']
1317	upukurkunaq	['upu', 'ku', 'rku', 'naq']	['D', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'D', 'M', 'F']	['VTr', 'Refl/Mid', 'Edu', 'Rpst']
1318	i	['i']	['U']	['CCONJ']
1319	despwes	['despwes']	['D', 'M', 'M', 'M', 'M', 'M', 'F']	['ADV']
1320	hamakurinaq	['hama', 'ku', 'ri', 'naq']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'F', 'D', 'M', 'F']	['VInt', 'Refl/Mid', 'Pct', 'Rpst']
1321	bisitawan	['bisita', 'wan']	['D', 'M', 'M', 'M', 'M', 'F', 'D', 'M', 'F']	['N', 'Com']
1322	chaqchakur	['chaqcha', 'ku', 'r']	['D', 'M', 'M', 'M', 'M', 'M', 'F', 'D', 'F', 'U']	['VInt', 'Refl/Mid', 'Cnv']
1323	tsayna	['Tsay', 'na']	['D', 'M', 'M', 'F', 'D', 'F']	['PRON', 'Acp']
1324	wayiyuq	['wayi', 'yuq']	['D', 'M', 'M', 'F', 'D', 'M', 'F']	['N', 'Orn']
1325	nunaqa	['nuna', 'qa']	['D', 'M', 'M', 'F', 'D', 'F']	['N', 'Top']
1326	hornuta	['hornu', 'ta']	['D', 'M', 'M', 'M', 'F', 'D', 'F']	['N', 'Obj']
1327	kicharkun	['kicha', 'rku', 'n']	['D', 'M', 'M', 'M', 'F', 'D', 'M', 'F', 'U']	['VTr', 'Edu', '3']
1328	mala	['Mala']	['D', 'M', 'M', 'F']	['N']
1329	swerti	['swerti']	['D', 'M', 'M', 'M', 'M', 'F']	['N']
1330	ni	['ni']	['D', 'F']	['ADV']
1331	pi	['pi']	['D', 'F']	['PRON']
1332	rantipunaqtsu	['ranti', 'pu', 'naq', 'tsu']	['D', 'M', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'D', 'M', 'F']	['VTr', 'Apl', 'Rpst', 'Neg']
1333	entonsisna	['Entonsis', 'na']	['D', 'M', 'M', 'M', 'M', 'M', 'M', 'F', 'D', 'F']	['ADV', 'Acp']
1334	kostal	['kostal']	['D', 'M', 'M', 'M', 'M', 'F']	['N']
1335	rurinpita	['ruri', 'n', 'pita']	['D', 'M', 'M', 'F', 'U', 'D', 'M', 'M', 'F']	['N', 'Poss.3', 'Abl']
1336	nirqunaq	['ni', 'rqu', 'naq']	['D', 'F', 'D', 'M', 'F', 'D', 'M', 'F']	['VTr', 'RecPst', '3', 'Rpst']
1337	ama	['Ama']	['D', 'M', 'F']	['ADV']
1338	haytamaytsu	['hayta', 'ma', 'y', 'tsu']	['D', 'M', 'M', 'M', 'F', 'D', 'F', 'U', 'D', 'M', 'F']	['VTr', '1.Obj', 'Imp.2', 'Neg']
1339	nuqalla	['Nuqa', 'lla']	['D', 'M', 'M', 'F', 'D', 'M', 'F']	['PRON.Prs', 'Lim']
1340	aywakushaq	['aywa', 'ku', 'shaq']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'M', 'F']	['VTr', 'Refl/Mid', 'Fut.1']
1341	kushishqa	['Kushi', 'shqa']	['D', 'M', 'M', 'M', 'F', 'D', 'M', 'M', 'F']	['VInt', 'Prf']
1342	ankashllata	['ankash', 'lla', 'ta']	['D', 'M', 'M', 'M', 'M', 'F', 'D', 'M', 'F', 'D', 'F']	['ADJ', 'Lim', 'Obj']
1343	apaykunaq	['apa', 'yku', 'naq']	['D', 'M', 'F', 'D', 'M', 'F', 'D', 'M', 'F']	['VTr', 'Intens', 'Rpst']
1344	yuriqnawmi	['Yuri', 'q', 'naw', 'mi']	['D', 'M', 'M', 'F', 'U', 'D', 'M', 'F', 'D', 'F']	['VInt', 'Agt', 'Equ', 'Asrt']
1345	toruyki	['toru', 'yki']	['D', 'M', 'M', 'F', 'D', 'M', 'F']	['N', 'Poss.2']
1346	kompadriimi	['Kompadri', 'i', 'mi']	['D', 'M', 'M', 'M', 'M', 'M', 'M', 'F', 'U', 'D', 'F']	['N', 'Poss.1Sg', 'Asrt']
1347	adibinamurqun	['adibina', 'mu', 'rqu', 'n']	['D', 'M', 'M', 'M', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'U']	['VTr', 'Cis', 'RecPst', '3']
1348	manam	['Mana', 'm']	['D', 'M', 'M', 'F', 'U']	['ADV', 'Asrt']
1349	kantsu	['ka', 'n', 'tsu']	['D', 'F', 'U', 'D', 'M', 'F']	['AUX', '3', 'Neg']
1350	apaykatsimuy	['Apa', 'yka', 'tsi', 'mu', 'y']	['D', 'M', 'F', 'D', 'M', 'F', 'D', 'M', 'F', 'D', 'F', 'U']	['VTr', 'Prog', 'Caus', 'Cis', 'Imp.2']
1351	señor	['Señor']	['D', 'M', 'M', 'M', 'F']	['N']
1352	kuraqa	['kura', 'qa']	['D', 'M', 'M', 'F', 'D', 'F']	['N', 'Top']
1353	qayaratsirqunaq	['qaya', 'ra', 'tsi', 'rqu', 'naq']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'D', 'M', 'F', 'D', 'M', 'F']	['VTr', 'Pct', 'Caus', 'RecPst', '3', 'Rpst']
1354	kompadrinta	['kompadri', 'n', 'ta']	['D', 'M', 'M', 'M', 'M', 'M', 'M', 'F', 'U', 'D', 'F']	['N', 'Poss.3', 'Obj']
1355	tsayna	['Tsay', 'na']	['D', 'M', 'M', 'F', 'D', 'F']	['PRON', 'Acp']
1356	nin	['ni', 'n']	['D', 'F', 'U']	['VTr', '3']
1357	reyshi	['Rey', 'shi']	['D', 'M', 'F', 'D', 'M', 'F']	['N', 'Nfh']
1358	uqrakuykushqa	['uqra', 'ku', 'yku', 'shqa']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'D', 'M', 'M', 'F']	['VTr', 'Refl/Mid', 'Intens', 'Prf']
1359	nunataqa	['Nuna', 'ta', 'qa']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'F']	['N', 'Obj', 'Top']
1360	porfin	['porfin']	['D', 'M', 'M', 'M', 'M', 'F']	['ADV']
1361	llawiriyarqunaq	['llawi', 'ri', 'ya', 'rqu', 'naq']	['D', 'M', 'M', 'M', 'F', 'D', 'F', 'D', 'F', 'D', 'M', 'F', 'D', 'M', 'F']	['VTr', 'Pct', 'Pl', 'RecPst', '3', 'Rpst']
1362	nuqatapis	['Nuqa', 'ta', 'pis']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F']	['PRON.Prs', 'Obj', 'Coord']
1363	riqiramarqunmi	['riqi', 'ra', 'ma', 'rqu', 'n', 'mi']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'F', 'D', 'M', 'F', 'U', 'D', 'F']	['VTr', 'Pct', '1.Obj', 'RecPst', '3', 'Asrt']
1364	nuqatapis	['Nuqa', 'ta', 'pis']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F']	['PRON.Prs', 'Obj', 'Coord']
1365	riqiramashqan	['riqi', 'ra', 'ma', 'shqa', 'n']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'F', 'D', 'M', 'M', 'F', 'U']	['VTr', 'Pct', '1.Obj', 'Prf', 'Poss.3']
1366	apayaamuy	['Apa', 'yaa', 'mu', 'y']	['D', 'M', 'F', 'D', 'M', 'F', 'D', 'F', 'U']	['VTr', 'Pl', 'Cis', 'Imp.2']
1367	porfin	['Porfin']	['D', 'M', 'M', 'M', 'M', 'F']	['ADV']
1368	tinkurirqunaq	['tinku', 'ri', 'rqu', 'naq']	['D', 'M', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'D', 'M', 'F']	['VInt', 'Pct', 'RecPst', '3', 'Rpst']
1369	qanchis	['qanchis']	['D', 'M', 'M', 'M', 'M', 'M', 'F']	['NUM.Card']
1370	hunaq	['hunaq']	['D', 'M', 'M', 'M', 'F']	['N']
1371	reyqa	['Rey', 'qa']	['D', 'M', 'F', 'D', 'F']	['N', 'Top']
1372	pensarqunaq	['pensa', 'rqu', 'naq']	['D', 'M', 'M', 'M', 'F', 'D', 'M', 'F', 'D', 'M', 'F']	['V', 'RecPst', '3', 'Rpst']
1373	mayqan	['Mayqa', 'n']	['D', 'M', 'M', 'M', 'F', 'U']	['PRON', 'Poss.3']
1374	animalniiraq	['animal', 'ni', 'i', 'raq']	['D', 'M', 'M', 'M', 'M', 'F', 'D', 'F', 'U', 'D', 'M', 'F']	['N', 'Poss.1Sg', 'Inacp']
1375	tsaychawmi	['Tsay', 'chaw', 'mi']	['D', 'M', 'M', 'F', 'D', 'M', 'M', 'F', 'D', 'F']	['PRON', 'Loc', 'Asrt']
1376	kaykan	['ka', 'yka', 'n']	['D', 'F', 'D', 'M', 'F', 'U']	['AUX', 'Prog', '3']
1377	perol	['Perol']	['D', 'M', 'M', 'M', 'F']	['N']
1378	perol	['perol']	['D', 'M', 'M', 'M', 'F']	['N']
1379	aruyaapuq	['aru', 'yaa', 'pu', 'q']	['D', 'M', 'F', 'D', 'M', 'F', 'D', 'F', 'U']	['VTr', 'Pl', 'Apl', 'Hab']
1380	kada	['Kada']	['D', 'M', 'M', 'F']	['DET']
1381	hunaq	['hunaq']	['D', 'M', 'M', 'M', 'F']	['N']
1382	mas	['mas']	['D', 'M', 'F']	['ADV']
1383	llakishqa	['llaki', 'shqa']	['D', 'M', 'M', 'M', 'F', 'D', 'M', 'M', 'F']	['VTr', 'Prf']
1384	kanki	['ka', 'nki']	['D', 'F', 'D', 'M', 'F']	['AUX', '2']
1385	tsaymi	['Tsay', 'mi']	['D', 'M', 'M', 'F', 'D', 'F']	['PRON', 'Asrt']
1386	dyablu	['dyablu']	['D', 'M', 'M', 'M', 'M', 'F']	['N']
1387	llapanwan	['llapa', 'n', 'wan']	['D', 'M', 'M', 'M', 'F', 'U', 'D', 'M', 'F']	['PRON', 'Poss.3', 'Com']
1388	yanapamashqa	['yanapa', 'ma', 'shqa']	['D', 'M', 'M', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'M', 'F']	['VTr', '1.Obj', 'Prf']
1389	tsaymi	['Tsay', 'mi']	['D', 'M', 'M', 'F', 'D', 'F']	['PRON', 'Asrt']
1390	kada	['kada']	['D', 'M', 'M', 'F']	['DET']
1391	hunaq	['hunaq']	['D', 'M', 'M', 'M', 'F']	['N']
1392	mas	['mas']	['D', 'M', 'F']	['ADV']
1393	abansamun	['abansa', 'mu', 'n']	['D', 'M', 'M', 'M', 'M', 'F', 'D', 'F', 'U']	['V', 'Cis', '3']
1394	hatun	['Hatun']	['D', 'M', 'M', 'M', 'F']	['ADJ']
1395	paqtsa	['paqtsa']	['D', 'M', 'M', 'M', 'M', 'F']	['N']
1396	kan	['ka', 'n']	['D', 'F', 'U']	['AUX', '3']
1397	rikaariyan	['Rikaa', 'ri', 'ya', 'n']	['D', 'M', 'M', 'M', 'F', 'D', 'F', 'D', 'F', 'U']	['VTr', 'Pct', 'Pl', '3']
1398	hatun	['hatun']	['D', 'M', 'M', 'M', 'F']	['ADJ']
1399	mantsanaypaq	['mantsa', 'na', 'y', 'paq']	['D', 'M', 'M', 'M', 'M', 'F', 'D', 'F', 'U', 'D', 'M', 'F']	['VTr', 'Prosp', 'Inf', 'Ben']
1400	paqtsata	['paqtsa', 'ta']	['D', 'M', 'M', 'M', 'M', 'F', 'D', 'F']	['N', 'Obj']
1401	ni	['Ni']	['D', 'F']	['ADV']
1402	pi	['pi']	['D', 'F']	['PRON']
1403	yaskintsu	['yaski', 'n', 'tsu']	['D', 'M', 'M', 'M', 'F', 'U', 'D', 'M', 'F']	['VTr', '3', 'Neg']
1404	wayiman	['Wayi', 'man']	['D', 'M', 'M', 'F', 'D', 'M', 'F']	['N', 'Dat']
1405	chaarir	['chaa', 'ri', 'r']	['D', 'M', 'M', 'F', 'D', 'F', 'U']	['VTr', 'Pct', 'Cnv']
1406	patronninta	['patron', 'ni', 'n', 'ta']	['D', 'M', 'M', 'M', 'M', 'F', 'D', 'F', 'U', 'D', 'F']	['N', 'Poss.3', 'Obj']
1407	entregarinaq	['entrega', 'ri', 'naq']	['D', 'M', 'M', 'M', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F']	['V', 'Pct', 'Rpst']
1408	dokumentuta	['dokumentu', 'ta']	['D', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'F', 'D', 'F']	['N', 'Obj']
