TOKEN	MORPH	SEG_BME	LABEL
piñakuyanmi	['piñaku', 'ya', 'n', 'mi']	['D', 'M', 'M', 'M', 'M', 'F', 'D', 'F', 'U', 'D', 'F']	['VInt', 'Pl', '3', 'Asrt']
despwes	['Despwes']	['D', 'M', 'M', 'M', 'M', 'M', 'F']	['ADV']
aywakamurqaa	['aywa', 'ka', 'mu', 'rqa', 'a']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'F', 'D', 'M', 'F', 'U']	['VTr', 'Refl/Mid', 'Cis', 'Pst', '1']
kareterata	['karetera', 'ta']	['D', 'M', 'M', 'M', 'M', 'M', 'M', 'F', 'D', 'F']	['N', 'Obj']
awtu	['awtu']	['D', 'M', 'M', 'F']	['N']
shuyaq	['shuya', 'q']	['D', 'M', 'M', 'M', 'F', 'U']	['VTr', 'Agt']
las	['Las']	['D', 'M', 'F']	['DET']
onsiran	['onsi', 'ran']	['D', 'M', 'M', 'F', 'D', 'M', 'F']	['NUM.Card', 'Inacp']
chaamunqa	['chaa', 'mu', 'nqa']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F']	['VTr', 'Cis', 'Fut.3']
chimbotipita	['Chimboti', 'pita']	['D', 'M', 'M', 'M', 'M', 'M', 'M', 'F', 'D', 'M', 'M', 'F']	['PROPN', 'Abl']
tsayna	['Tsayna']	['D', 'M', 'M', 'M', 'M', 'F']	['ADV']
topaq	['topa', 'q']	['D', 'M', 'M', 'F', 'U']	['VInt', 'Agt']
nunaqa	['nuna', 'qa']	['D', 'M', 'M', 'F', 'D', 'F']	['N', 'Top']
ninaq	['ni', 'naq']	['D', 'F', 'D', 'M', 'F']	['VTr', 'Rpst']
manam	['Mana', 'm']	['D', 'M', 'M', 'F', 'U']	['INTJ', 'Asrt']
i	['I']	['U']	['CCONJ']
felismente	['felismente']	['D', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'F']	['ADV']
chaariyarqaa	['chaa', 'ri', 'ya', 'rqa', 'a']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'F', 'D', 'M', 'F', 'U']	['VTr', 'Pct', 'Pl', 'Pst', '1']
ayhaman	['Ayha', 'man']	['D', 'M', 'M', 'F', 'D', 'M', 'F']	['PROPN', 'Dat']
tsaymi	['Tsay', 'mi']	['D', 'M', 'M', 'F', 'D', 'F']	['PRON', 'Asrt']
tsaychaw	['tsay', 'chaw']	['D', 'M', 'M', 'F', 'D', 'M', 'M', 'F']	['PRON', 'Loc']
allibwenum	['allibwenu', 'm']	['D', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'F', 'U']	['ADV', 'Asrt']
fyesta	['fyesta']	['D', 'M', 'M', 'M', 'M', 'F']	['N']
sumaykun	['sumayku', 'n']	['D', 'M', 'M', 'M', 'M', 'M', 'F', 'U']	['VTr', '3']
tsaychaw	['Tsay', 'chaw']	['D', 'M', 'M', 'F', 'D', 'M', 'M', 'F']	['PRON', 'Loc']
andasman	['andas', 'man']	['D', 'M', 'M', 'M', 'F', 'D', 'M', 'F']	['N', 'Dat']
watayan	['wata', 'ya', 'n']	['D', 'M', 'M', 'F', 'D', 'F', 'U']	['VTr', 'Pl', '3']
tsaynawparan	['Tsay', 'naw', 'pa', 'ran']	['D', 'M', 'M', 'F', 'D', 'M', 'F', 'D', 'F', 'D', 'M', 'F']	['PRON', 'Equ', 'Man', 'Inacp']
tsaypita	['tsay', 'pita']	['D', 'M', 'M', 'F', 'D', 'M', 'M', 'F']	['PRON', 'Abl']
kutikamurqaa	['kuti', 'ka', 'mu', 'rqa', 'a']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'F', 'D', 'M', 'F', 'U']	['VInt', 'Refl/Mid', 'Cis', 'Pst', '1']
allaapa	['Allaapa']	['D', 'M', 'M', 'M', 'M', 'M', 'F']	['ADV']
eskasum	['eskasu', 'm']	['D', 'M', 'M', 'M', 'M', 'F', 'U']	['ADJ', 'Asrt']
karu	['karu']	['D', 'M', 'M', 'F']	['N']
tsaypitanam	['Tsay', 'pita', 'na', 'm']	['D', 'M', 'M', 'F', 'D', 'M', 'M', 'F', 'D', 'F', 'U']	['PRON', 'Abl', 'Acp', 'Asrt']
aywarqaa	['aywa', 'rqa', 'a']	['D', 'M', 'M', 'F', 'D', 'M', 'F', 'U']	['VTr', 'Pst', '1']
padre	['padre']	['D', 'M', 'M', 'M', 'F']	['N']
jaramillo	['Jaramillo']	['D', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'F']	['PROPN']
ashiq	['ashi', 'q']	['D', 'M', 'M', 'F', 'U']	['VTr', 'Agt']
i	['i']	['U']	['CCONJ']
tarikurqaa	['tari', 'ku', 'rqa', 'a']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'U']	['VTr', 'Intens', 'Pst', '1']
rekwayllachaw	['Rekway', 'lla', 'chaw']	['D', 'M', 'M', 'M', 'M', 'F', 'D', 'M', 'F', 'D', 'M', 'M', 'F']	['PROPN', 'Lim', 'Loc']
tsaynam	['Tsayna', 'm']	['D', 'M', 'M', 'M', 'M', 'F', 'U']	['ADV', 'Asrt']
tsayllachaw	['tsay', 'lla', 'chaw']	['D', 'M', 'M', 'F', 'D', 'M', 'F', 'D', 'M', 'M', 'F']	['PRON', 'Lim', 'Loc']
aywakurqaa	['aywa', 'ku', 'rqa', 'a']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'U']	['VTr', 'Refl/Mid', 'Pst', '1']
konakochaman	['Konakocha', 'man']	['D', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'F', 'D', 'M', 'F']	['PROPN', 'Dat']
tsaymi	['Tsay', 'mi']	['D', 'M', 'M', 'F', 'D', 'F']	['PRON', 'Asrt']
warasman	['Waras', 'man']	['D', 'M', 'M', 'M', 'F', 'D', 'M', 'F']	['PROPN', 'Dat']
chaayaamurqaa	['cha', 'cha', 'cha', 'cha', 'cha']	['D', 'M', 'F', 'D', 'M', 'F', 'D', 'M', 'F', 'D', 'M', 'F', 'D', 'M', 'F']	['VTr', 'Pl', 'Cis', 'Pst', '1']
las	['las']	['D', 'M', 'F']	['DET']
sinku	['sinku']	['D', 'M', 'M', 'M', 'F']	['NUM.Card']
de	['de']	['D', 'F']	['ADP']
la	['la']	['D', 'F']	['DET']
tardi	['tardi']	['D', 'M', 'M', 'M', 'F']	['N']
tsaypitanam	['Tsay', 'pita', 'na', 'm']	['D', 'M', 'M', 'F', 'D', 'M', 'M', 'F', 'D', 'F', 'U']	['PRON', 'Abl', 'Acp', 'Asrt']
qayaramurqan	['qaya', 'ra', 'mu', 'rqa', 'n']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'F', 'D', 'M', 'F', 'U']	['VTr', 'Pct', 'Cis', 'Pst', '3']
padre	['padre']	['D', 'M', 'M', 'M', 'F']	['N']
jorgita	['Jorgi', 'ta']	['D', 'M', 'M', 'M', 'F', 'D', 'F']	['PROPN', 'Obj']
tsayta	['Tsay', 'ta']	['D', 'M', 'M', 'F', 'D', 'F']	['PRON.Dem', 'Obj']
aywaraykarmi	['aywa', 'ra', 'yka', 'r', 'mi']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'U', 'D', 'F']	['VTr', 'Dur', 'Prog', 'Cnv', 'Asrt']
huk	['huk']	['D', 'M', 'F']	['DET']
kurbachaw	['kurba', 'chaw']	['D', 'M', 'M', 'M', 'F', 'D', 'M', 'M', 'F']	['N', 'Loc']
paseta	['pase', 'ta']	['D', 'M', 'M', 'F', 'D', 'F']	['N', 'Obj']
qunakuyashqanta	['qu', 'naku', 'ya', 'shqa', 'n', 'ta']	['D', 'F', 'D', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'M', 'F', 'U', 'D', 'F']	['VTr', 'Recp', 'Pl', 'Prf', 'Poss.3', 'Obj']
nuqakuna	['nuqakuna']	['D', 'M', 'M', 'M', 'M', 'M', 'M', 'F']	['PRON.Prs']
aywayashqa	['aywa', 'ya', 'shqa']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'M', 'F']	['VTr', 'Pl', 'Prf']
qarimparirqaa	['qarimpa', 'ri', 'rqa', 'a']	['D', 'M', 'M', 'M', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'U']	['VInt', 'Pct', 'Pst', '1']
nuqa	['nuqa']	['D', 'M', 'M', 'F']	['PRON.Prs']
taarashqaa	['taa', 'ra', 'shqa', 'a']	['D', 'M', 'F', 'D', 'F', 'D', 'M', 'M', 'F', 'U']	['VInt', 'Pct', 'Prf', 'Poss.1Sg']
laduman	['ladu', 'man']	['D', 'M', 'M', 'F', 'D', 'M', 'F']	['N', 'Dat']
tsaynam	['Tsayna', 'm']	['D', 'M', 'M', 'M', 'M', 'F', 'U']	['ADV', 'Asrt']
diskulpakurqan	['diskulpa', 'ku', 'rqa', 'n']	['D', 'M', 'M', 'M', 'M', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'U']	['V', 'Refl/Mid', 'Pst', '3']
manam	['Mana', 'm']	['D', 'M', 'M', 'F', 'U']	['ADV', 'Asrt']
ni	['ni']	['D', 'F']	['CCONJ']
pi	['pi']	['D', 'F']	['PRON']
kichayaamarqatsu	['kicha', 'yaa', 'ma', 'rqa', 'tsu']	['D', 'M', 'M', 'M', 'F', 'D', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'D', 'M', 'F']	['VTr', 'Pl', '1.Obj', 'Pst', '3', 'Neg']
niyaptii	['ni', 'ya', 'pti', 'i']	['D', 'F', 'D', 'F', 'D', 'M', 'F', 'U']	['VTr', 'Pl', 'Cnv', 'Poss.1Sg']
huk	['Huk']	['D', 'M', 'F']	['DET']
restawrantillachawnam	['restawranti', 'lla', 'chaw', 'na', 'm']	['D', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'F', 'D', 'M', 'F', 'D', 'M', 'M', 'F', 'D', 'F', 'U']	['N', 'Lim', 'Loc', 'Acp', 'Asrt']
rogaypa	['roga', 'y', 'pa']	['D', 'M', 'M', 'F', 'U', 'D', 'F']	['V', 'Inf', 'Man']
quyaamarqan	['qu', 'yaa', 'ma', 'rqa', 'n']	['D', 'F', 'D', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'U']	['VTr', 'Pl', '1.Obj', 'Pst', '3']
cafellatana	['cafe', 'lla', 'ta', 'na']	['D', 'M', 'M', 'F', 'D', 'M', 'F', 'D', 'F', 'D', 'F']	['N', 'Lim', 'Obj', 'Acp']
mana	['Mana']	['D', 'M', 'M', 'F']	['ADV']
maymanpis	['may', 'man']	['D', 'M', 'F', 'D', 'M', 'F']	['PRON', 'Dat']
aywayta	['aywa', 'y', 'ta']	['D', 'M', 'M', 'F', 'U', 'D', 'F']	['VTr', 'Inf', 'Obj']
pwedirnam	['pwedi', 'r', 'na', 'm']	['D', 'M', 'M', 'M', 'F', 'U', 'D', 'F', 'U']	['VTr', 'Cnv', 'Acp', 'Asrt']
otelllachawna	['otel', 'lla', 'chaw', 'na']	['D', 'M', 'M', 'F', 'D', 'M', 'F', 'D', 'M', 'M', 'F', 'D', 'F']	['N', 'Lim', 'Loc', 'Acp']
kedakuyarqaa	['keda', 'ku', 'ya', 'rqa', 'a']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'F', 'D', 'M', 'F', 'U']	['V', 'Refl/Mid', 'Pl', 'Pst', '1']
chirapa	['Chirapa']	['D', 'M', 'M', 'M', 'M', 'M', 'F']	['N']
tamyatam	['tamya', 'ta', 'm']	['D', 'M', 'M', 'M', 'F', 'D', 'F', 'U']	['N', 'Obj', 'Asrt']
prosesyon	['prosesyon']	['D', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'F']	['N']
tumaykurqan	['tuma', 'yku', 'rqa', 'n']	['D', 'M', 'M', 'F', 'D', 'M', 'F', 'D', 'M', 'F', 'U']	['VTr', 'Intens', 'Pst', '3']
padre	['Padre']	['D', 'M', 'M', 'M', 'F']	['N']
luchu	['Luchu']	['D', 'M', 'M', 'M', 'F']	['PROPN']
lunchita	['lunchi', 'ta']	['D', 'M', 'M', 'M', 'M', 'F', 'D', 'F']	['N', 'Obj']
qarayaamarqan	['qara', 'yaa', 'ma', 'rqa', 'n']	['D', 'M', 'M', 'F', 'D', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'U']	['VTr', 'Pl', '1.Obj', 'Pst', '3']
i	['i']	['U']	['CCONJ']
las	['las']	['D', 'M', 'F']	['DET']
seisnawnam	['seis', 'naw', 'na', 'm']	['D', 'M', 'M', 'F', 'D', 'M', 'F', 'D', 'F', 'U']	['NUM.Card', 'Equ', 'Acp', 'Asrt']
mana	['mana']	['D', 'M', 'M', 'F']	['ADV']
ni	['ni']	['D', 'F']	['CCONJ']
piwanpis	['pi', 'wan']	['D', 'F', 'D', 'M', 'F']	['PRON', 'Com']
riqinakur	['riqi', 'naku', 'r']	['D', 'M', 'M', 'F', 'D', 'M', 'M', 'F', 'U']	['VTr', 'Recp', 'Cnv']
niyarqaa	['ni', 'ya', 'rqa', 'a']	['D', 'F', 'D', 'F', 'D', 'M', 'F', 'U']	['VTr', 'Pl', 'Pst', '1']
padre	['padre']	['D', 'M', 'M', 'M', 'F']	['N']
luchuta	['Luchu', 'ta']	['D', 'M', 'M', 'M', 'F', 'D', 'F']	['PROPN', 'Obj']
aywayaa	['aywa', 'ya', 'a']	['D', 'M', 'M', 'F', 'D', 'F', 'U']	['VTr', 'Pl', '1']
posada	['posada']	['D', 'M', 'M', 'M', 'M', 'F']	['N']
ashiqchi	['ashi', 'q', 'chi']	['D', 'M', 'M', 'F', 'U', 'D', 'M', 'F']	['VTr', 'Agt', 'Conjc']
manaraq	['mana', 'raq']	['D', 'M', 'M', 'F', 'D', 'M', 'F']	['ADV', 'Inacp']
ampiptin	['ampi', 'pti', 'n']	['D', 'M', 'M', 'F', 'D', 'M', 'F', 'U']	['VInt', 'Cnv', 'Poss.3']
i	['i']	['U']	['CCONJ']
mana	['mana']	['D', 'M', 'M', 'F']	['ADV']
tarirninnachi	['tari', 'r', 'ni', 'n', 'na', 'chi']	['D', 'M', 'M', 'F', 'U', 'D', 'F', 'U', 'D', 'F', 'D', 'M', 'F']	['VTr', 'Cnv', 'Poss.3', 'Acp', 'Conjc']
otelllachaw	['otel', 'lla', 'chaw']	['D', 'M', 'M', 'F', 'D', 'M', 'F', 'D', 'M', 'M', 'F']	['N', 'Lim', 'Loc']
punuyaashaq	['punu', 'yaa', 'shaq']	['D', 'M', 'M', 'F', 'D', 'M', 'F', 'D', 'M', 'M', 'F']	['VInt', 'Pl', 'Fut.1']
tsaynam	['Tsayna', 'm']	['D', 'M', 'M', 'M', 'M', 'F', 'U']	['ADV', 'Asrt']
niyaa	['ni', 'ya', 'a']	['D', 'F', 'D', 'F', 'U']	['VTr', 'Pl', '1']
kayaa	['Ka', 'ya', 'a']	['D', 'F', 'D', 'F', 'U']	['AUX', 'Pl', '1']
katekistam	['katekista', 'm']	['D', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'F', 'U']	['N', 'Asrt']
wanuku	['Wanuku']	['D', 'M', 'M', 'M', 'M', 'F']	['PROPN']
kontrolllachawmi	['kontrol', 'lla', 'chaw', 'mi']	['D', 'M', 'M', 'M', 'M', 'M', 'F', 'D', 'M', 'F', 'D', 'M', 'M', 'F', 'D', 'F']	['N', 'Lim', 'Loc', 'Asrt']
llapan	['llapan']	['D', 'M', 'M', 'M', 'M', 'F']	['ADJ']
awtu	['awtu']	['D', 'M', 'M', 'F']	['N']
montaña	['montaña']	['D', 'M', 'M', 'M', 'M', 'M', 'F']	['N']
aywaq	['aywa', 'q']	['D', 'M', 'M', 'F', 'U']	['VTr', 'Agt']
taakuykaayaq	['taa', 'ku', 'ykaa', 'ya', 'q']	['D', 'M', 'F', 'D', 'F', 'D', 'M', 'M', 'F', 'D', 'F', 'U']	['VInt', 'Refl/Mid', 'Prog', 'Pl', 'Agt']
tsayqa	['Tsay', 'qa']	['D', 'M', 'M', 'F', 'D', 'F']	['PRON.Dem', 'Topic']
posada	['posada']	['D', 'M', 'M', 'M', 'M', 'F']	['N']
ashiyaanaqa	['ashi', 'ya', 'a', 'na', 'qa']	['D', 'M', 'M', 'F', 'D', 'F', 'U', 'D', 'F', 'D', 'F']	['VTr', 'Pl', '1', 'Acp', 'Top']
bandankunanam	['Banda', 'n', 'kuna', 'na', 'm']	['D', 'M', 'M', 'M', 'F', 'U', 'D', 'M', 'M', 'F', 'D', 'F', 'U']	['N', 'Poss.3', 'Pl', 'Acp', 'Asrt']
tokayan	['toka', 'ya', 'n']	['D', 'M', 'M', 'F', 'D', 'F', 'U']	['V', 'Pl', '3']
shumaq	['shumaq']	['D', 'M', 'M', 'M', 'M', 'F']	['ADJ']
waynuta	['waynu', 'ta']	['D', 'M', 'M', 'M', 'F', 'D', 'F']	['N', 'Obj']
ayrampita	['Ayrampita']	['D', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'F']	['PROPN']
nishqanta	['ni', 'shqa', 'n', 'ta']	['D', 'F', 'D', 'M', 'M', 'F', 'U', 'D', 'F']	['VTr', 'Prf', 'Poss.3', 'Obj']
waraanin	['Waraanin']	['D', 'M', 'M', 'M', 'M', 'M', 'M', 'F']	['ADV']
lunisnam	['lunis', 'na', 'm']	['D', 'M', 'M', 'M', 'F', 'D', 'F', 'U']	['N', 'Acp', 'Asrt']
aywayarqaa	['aywa', 'ya', 'rqa', 'a']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'U']	['VTr', 'Pl', 'Pst', '1']
wanuku	['Wanuku']	['D', 'M', 'M', 'M', 'M', 'F']	['PROPN']
frentin	['frenti', 'n']	['D', 'M', 'M', 'M', 'M', 'F', 'U']	['N', 'Poss.3']
pawkarbambata	['Pawkarbamba', 'ta']	['D', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'F', 'D', 'F']	['PROPN', 'Obj']
tsaychawmi	['Tsay', 'chaw', 'mi']	['D', 'M', 'M', 'F', 'D', 'M', 'M', 'F', 'D', 'F']	['PRON', 'Loc', 'Asrt']
tariyarqaa	['tari', 'ya', 'rqa', 'a']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'U']	['VTr', 'Pl', 'Pst', '1']
huk	['huk']	['D', 'M', 'F']	['DET']
nunata	['nuna', 'ta']	['D', 'M', 'M', 'F', 'D', 'F']	['N', 'Obj']
hatun	['hatun']	['D', 'M', 'M', 'M', 'F']	['ADJ']
shukshu	['shukshu']	['D', 'M', 'M', 'M', 'M', 'M', 'F']	['N']
puntanman	['punta', 'n', 'man']	['D', 'M', 'M', 'M', 'F', 'U', 'D', 'M', 'F']	['N', 'Poss.3', 'Dat']
osin	['osi', 'n']	['D', 'M', 'F', 'U']	['N', 'Poss.3']
watashqa	['wata', 'shqa']	['D', 'M', 'M', 'F', 'D', 'M', 'M', 'F']	['VTr', 'Prf']
i	['I']	['U']	['CCONJ']
tsaynawpa	['tsay', 'naw', 'pa']	['D', 'M', 'M', 'F', 'D', 'M', 'F', 'D', 'F']	['PRON', 'Equ', 'Man']
qarqarayaamunaq	['qarqa', 'ra', 'yaa', 'mu', 'naq']	['D', 'M', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'D', 'F', 'D', 'M', 'F']	['VTr', 'Pct', 'Pl', 'Cis', 'Rpst']
tsay	['tsay']	['D', 'M', 'M', 'F']	['DET']
mormonkunata	['mormon', 'kuna', 'ta']	['D', 'M', 'M', 'M', 'M', 'F', 'D', 'M', 'M', 'F', 'D', 'F']	['N', 'Pl', 'Obj']
i	['I']	['U']	['CCONJ']
riwarayaamuu	['riwa', 'ra', 'yaa', 'mu', 'u']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'D', 'F', 'U']	['VInt', 'Pct', 'Pl', 'Cis', '1']
limpu	['limpu']	['D', 'M', 'M', 'M', 'F']	['ADV']
tardina	['tardi', 'na']	['D', 'M', 'M', 'M', 'F', 'D', 'F']	['N', 'Acp']
i	['I']	['U']	['CCONJ']
tullpankuna	['tullpa', 'n', 'kuna']	['D', 'M', 'M', 'M', 'M', 'F', 'U', 'D', 'M', 'M', 'F']	['N', 'Poss.3', 'Pl']
kima	['kima']	['D', 'M', 'M', 'F']	['NUM.Card']
rumi	['rumi']	['D', 'M', 'M', 'F']	['N']
churashqa	['chura', 'shqa']	['D', 'M', 'M', 'M', 'F', 'D', 'M', 'M', 'F']	['VTr', 'Prf']
patsallachaw	['patsa', 'lla', 'chaw']	['D', 'M', 'M', 'M', 'F', 'D', 'M', 'F', 'D', 'M', 'M', 'F']	['N', 'Lim', 'Loc']
tsaymi	['Tsay', 'mi']	['D', 'M', 'M', 'F', 'D', 'F']	['PRON', 'Asrt']
watachaw	['wata', 'chaw']	['D', 'M', 'M', 'F', 'D', 'M', 'M', 'F']	['N', 'Loc']
fyestakuna	['fyesta', 'kuna']	['D', 'M', 'M', 'M', 'M', 'F', 'D', 'M', 'M', 'F']	['N', 'Pl']
atska	['Atska']	['D', 'M', 'M', 'M', 'F']	['ADJ']
hutipitam	['huti', 'pita', 'm']	['D', 'M', 'M', 'F', 'D', 'M', 'M', 'F', 'U']	['N', 'Abl', 'Asrt']
akrayarqaa	['akra', 'ya', 'rqa', 'a']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'U']	['VTr', 'Pl', 'Pst', '1']
purísimo	['Purísimo']	['D', 'M', 'M', 'M', 'M', 'M', 'M', 'F']	['PROPN']
corazón	['Corazón']	['D', 'M', 'M', 'M', 'M', 'M', 'F']	['PROPN']
de	['de']	['D', 'F']	['ADP']
maría	['María']	['D', 'M', 'M', 'M', 'F']	['PROPN']
lehyonaryu	['Lehyonaryu']	['D', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'F']	['N']
yaykuqkunapis	['yayku', 'q', 'kuna', 'pis']	['D', 'M', 'M', 'M', 'F', 'U', 'D', 'M', 'M', 'F', 'D', 'M', 'F']	['VTr', 'Agt', 'Pl', 'Coord']
yarqurna	['yarqu', 'r', 'na']	['D', 'M', 'M', 'M', 'F', 'U', 'D', 'F']	['VTr', 'Cnv', 'Acp']
qallaykuyarqan	['qalla', 'yku', 'ya', 'rqa', 'n']	['D', 'M', 'M', 'M', 'F', 'D', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'U']	['VTr', 'Intens', 'Pl', 'Pst', '3']
puntata	['punta', 'ta']	['D', 'M', 'M', 'M', 'F', 'D', 'F']	['N', 'Obj']
fabián	['Fabián']	['D', 'M', 'M', 'M', 'M', 'F']	['PROPN']
reyes	['Reyes']	['D', 'M', 'M', 'M', 'F']	['PROPN']
honoratu	['Honoratu']	['D', 'M', 'M', 'M', 'M', 'M', 'M', 'F']	['PROPN']
velásquez	['Velásquez']	['D', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'F']	['PROPN']
i	['i']	['U']	['CCONJ']
cefirinu	['Cefirinu']	['D', 'M', 'M', 'M', 'M', 'M', 'M', 'F']	['PROPN']
tahua	['Tahua']	['D', 'M', 'M', 'M', 'F']	['PROPN']
warminkunata	['warmi', 'n', 'kuna', 'ta']	['D', 'M', 'M', 'M', 'F', 'U', 'D', 'M', 'M', 'F', 'D', 'F']	['N', 'Poss.3', 'Pl', 'Obj']
mantsar	['mantsa', 'r']	['D', 'M', 'M', 'M', 'M', 'F', 'U']	['VTr', 'Cnv']
porki	['porki']	['D', 'M', 'M', 'M', 'F']	['SCONJ']
warminkuna	['warmi', 'n', 'kuna']	['D', 'M', 'M', 'M', 'F', 'U', 'D', 'M', 'M', 'F']	['N', 'Poss.3', 'Pl']
ninaq	['ni', 'naq']	['D', 'F', 'D', 'M', 'F']	['VTr', 'Rpst']
tsay	['Tsay']	['D', 'M', 'M', 'F']	['DET']
protestantikunawan	['protestanti', 'kuna', 'wan']	['D', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'F', 'D', 'M', 'M', 'F', 'D', 'M', 'F']	['N', 'Pl', 'Com']
huntarirqa	['hunta', 'ri', 'r', 'qa']	['D', 'M', 'M', 'M', 'F', 'D', 'F', 'U', 'D', 'F']	['VTr', 'Pct', 'Cnv', 'Top']
ama	['ama']	['D', 'M', 'F']	['ADV']
warmilla	['warmi', 'lla']	['D', 'M', 'M', 'M', 'F', 'D', 'M', 'F']	['N', 'Lim']
nimaytsu	['ni', 'ma', 'y', 'tsu']	['D', 'F', 'D', 'F', 'U', 'D', 'M', 'F']	['VTr', '1.Obj', 'Imp.2', 'Neg']
hina	['Hina']	['D', 'M', 'M', 'F']	['ADV']
misaqa	['misa', 'qa']	['D', 'M', 'M', 'F', 'D', 'F']	['N', 'Top']
kada	['kada']	['D', 'M', 'M', 'F']	['DET']
killam	['killa', 'm']	['D', 'M', 'M', 'M', 'F', 'U']	['N', 'Asrt']
tsaychawmi	['Tsay', 'chaw', 'mi']	['D', 'M', 'M', 'F', 'D', 'M', 'M', 'F', 'D', 'F']	['PRON', 'Loc', 'Asrt']
chikneychaw	['Chikney', 'chaw']	['D', 'M', 'M', 'M', 'M', 'M', 'F', 'D', 'M', 'M', 'F']	['PROPN', 'Loc']
willakuraykaptiimi	['willa', 'ku', 'ra', 'yka', 'pti', 'i', 'mi']	['D', 'M', 'M', 'M', 'F', 'D', 'F', 'D', 'F', 'D', 'M', 'F', 'D', 'M', 'F', 'U', 'D', 'F']	['VTr', 'Refl/Mid', 'Pct', 'Prog', 'Cnv', 'Poss.1Sg', 'Asrt']
huk	['huk']	['D', 'M', 'F']	['DET']
chakwasta	['chakwas', 'ta']	['D', 'M', 'M', 'M', 'M', 'M', 'F', 'D', 'F']	['N', 'Obj']
willarir	['willa', 'ri', 'r']	['D', 'M', 'M', 'M', 'F', 'D', 'F', 'U']	['VTr', 'Pct', 'Cnv']
pasarirqaa	['pasa', 'ri', 'rqa', 'a']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'U']	['VInt', 'Pct', 'Pst', '1']
hukman	['huk', 'man']	['D', 'M', 'F', 'D', 'M', 'F']	['PRON', 'Dat']
tsaynash	['Tsayna', 'sh']	['D', 'M', 'M', 'M', 'M', 'F', 'D', 'F']	['ADV', 'Nfh']
luisqa	['Luis', 'qa']	['D', 'M', 'M', 'F', 'D', 'F']	['PROPN', 'Top']
riwikushpanalla	['riwi', 'ku', 'shpa', 'na', 'lla']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F']	['VTr', 'Refl/Mid', 'Grd', 'Acp', 'Lim']
nawinta	['nawi', 'n', 'ta']	['D', 'M', 'M', 'F', 'U', 'D', 'F']	['N', 'Poss.3', 'Obj']
kutarinaq	['kuta', 'ri', 'naq']	['D', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F']	['V', 'Pct', 'Rpst']
hayllana	['hay', 'lla', 'na']	['D', 'M', 'F', 'D', 'M', 'F', 'D', 'F']	['PRON', 'Lim', 'Acp']
ardaypa	['arday', 'pa']	['D', 'M', 'M', 'M', 'F', 'D', 'F']	['ADV', 'Man']
semanatam	['Semana', 'ta', 'm']	['D', 'M', 'M', 'M', 'M', 'F', 'D', 'F', 'U']	['N', 'Obj', 'Asrt']
yarqamurqan	['yarqa', 'mu', 'rqa', 'n']	['D', 'M', 'M', 'M', 'F', 'D', 'F', 'D', 'M', 'F', 'U']	['VTr', 'Cis', 'Pst', '3']
kachakaarir	['kachakaa', 'ri', 'r']	['D', 'M', 'M', 'M', 'M', 'M', 'M', 'F', 'D', 'F', 'U']	['VInt', 'Pct', 'Cnv']
