Tsaynam chaarirqaa Hotel Suiza Peruanaman.	Así llegué al Hotel Suiza Peruana.	CRH-06-148	[['tsayna[ADV]+mi[Asrt]'], ['chaa[VTr]+rI[Pct]+rqa[Pst]+ː[1]'], ['hotel[PROPN]'], ['suiza[PROPN]'], ['peruana[PROPN]+man[Dat]']]	[[('Tsayna', 'tsayna'), ('m', 'mi')], [('chaa', 'chaa'), ('ri', 'rI'), ('rqa', 'rqa'), ('a', 'ː')], [('Hotel', 'hotel')], [('Suiza', 'suiza')], [('Peruana', 'peruana'), ('man', 'man')]]	[['tsay[PRON]+na[Acp]+mi[Asrt]'], ['chaa[VTr]+rI[Pct]+rqa[Pst]+ː[1]'], ['hotel[UNK]'], ['suiza[UNK]'], ['peruanaman[UNK]']]
Tsaychawmi huk nuna kaykaanaq.	Había un hombre allí.	CRH-06-179	[['tsay[PRON]+chaw[Loc]+mi[Asrt]'], ['huk[DET]'], ['nuna[N]'], ['ka[AUX]+YkaA[Prog]+naq[Rpst]']]	[[('Tsay', 'tsay'), ('chaw', 'chaw'), ('mi', 'mi')], [('huk', 'huk')], [('nuna', 'nuna')], [('ka', 'ka'), ('ykaa', 'YkaA'), ('naq', 'naq')]]	[['tsay[PRON]+chaw[Loc]+mi[Asrt]', 'tsay[PRON]+chaw[Loc](ADV)+mi[Asrt]'], ['huk[NUM.Card]', 'huk[DET]', 'huk[PRON]'], ['nuna[N]'], ['ka[AUX]+YkaA[Prog]+naq[Rpst]']]
Despwesnam shayaamurqaa i chaarayaamuu Karwasman las kwatruna.	Después vinimos y llegamos a Carhuaz a las cuatro.	CRH-06-196	[['despwes[ADV]+na[Acp]+mi[Asrt]'], ['shaa[VInt]+yaA[VPl]+mu[Cis]+rqa[Pst]+ː[1]'], ['i[CCONJ]'], ['chaa[VTr]+rI[Pct]+yaA[VPl]+mu[Cis]+ː[1]'], ['karwas[PROPN]+man[Dat]'], ['las[DET]'], ['kwatru[NUM.Card]+na[Acp]']]	[[('Despwes', 'despwes'), ('na', 'na'), ('m', 'mi')], [('sha', 'shaa'), ('yaa', 'yaA'), ('mu', 'mu'), ('rqa', 'rqa'), ('a', 'ː')], [('i', 'i')], [('chaa', 'chaa'), ('ra', 'rI'), ('yaa', 'yaA'), ('mu', 'mu'), ('u', 'ː')], [('Karwas', 'karwas'), ('man', 'man')], [('las', 'las')], [('kwatru', 'kwatru'), ('na', 'na')]]	[['despwes[ADV]+na[Acp]+mi[Asrt]'], ['shaa[VInt]+yaA[VPl]+mu[Cis]+rqa[Pst]+ː[1]'], ['i[CCONJ]'], ['chaa[VTr]+rI[Pct]+yaA[VPl]+mu[Cis]+ː[1]'], ['karwas[PROPN]+man[Dat]'], ['las[DET]'], ['kwatru[NUM.Card]+na[Acp]']]
Paytanam qurqaa qillaynin arukaramunanpaq.	Le di dinero para cocinar.	CRH-06-215	[['pay[PRON.Prs]+ta[Obj]+na[Acp]+mi[Asrt]'], ['qu[VTr]+rqa[Pst]+ː[1]'], ['qillay[N]+n[Poss.3]'], ['aru[VTr]+kU[Refl/Mid]+rI[Pct]+mu[Cis]+na[Pot](N)+n[Poss.3]+paq[Ben]']]	[[('Pay', 'pay'), ('ta', 'ta'), ('na', 'na'), ('m', 'mi')], [('qu', 'qu'), ('rqa', 'rqa'), ('a', 'ː')], [('qillay', 'qillay'), ('ni', 0), ('n', 'n')], [('aru', 'aru'), ('ka', 'kU'), ('ra', 'rI'), ('mu', 'mu'), ('na', 'na'), ('n', 'n'), ('paq', 'paq')]]	[['pay[PRON.Prs]+ta[Obj]+na[Acp]+mi[Asrt]'], ['qu[VTr]+rqa[Pst]+ː[1]'], ['qillay[N]+n[Poss.3]'], ['aru[VTr]+kaA[Pass]+rI[Pct]+mu[Cis]+na[Pot](N)+n[Poss.3]+paq[Ben]', 'aru[VTr]+kU[Refl/Mid]+rI[Pct]+mu[Cis]+na[Pot](N)+n[Poss.3]+paq[Ben]']]
Tsayta pasariyaptiinam awtuqa fallarna qallaykurqa.	Cuando pasamos Chacchán el carro empezó a fallar.	CRH-06-243	[['tsay[PRON.Dem]+ta[Obj]'], ['pasa[VInt]+rI[Pct]+yaA[VPl]+pti[Cnv](N)+ː[Poss.1Sg]+na[Acp]+mi[Asrt]'], ['awtu[N]+qa[Top]'], ['fallar[V]+na[Acp]'], ['qalla[VTr]+yku[Intens]+rqa[Pst][3]']]	[[('Tsay', 'tsay'), ('ta', 'ta')], [('pasa', 'pasa'), ('ri', 'rI'), ('ya', 'yaA'), ('pti', 'pti'), ('i', 'ː'), ('na', 'na'), ('m', 'mi')], [('awtu', 'awtu'), ('qa', 'qa')], [('fallar', 'fallar'), ('na', 'na')], [('qalla', 'qalla'), ('yku', 'yku'), ('rqa', 'rqa')]]	[['tsay[PRON]+ta[Obj]', 'tsay[PRON.Dem]+ta[Obj]'], ['pasa[VInt]+rI[Pct]+yaA[VPl]+pti[Cnv](N)+ː[Poss.1Sg]+na[Acp]+mi[Asrt]'], ['awtu[N]+qa[Top]'], ['fallarna[UNK]'], ['qalla[VTr]+yku[Intens]+r[Cnv](N)+qa[Top]', 'qalla[VTr]+yku[Intens]+rqa[Pst][3]']]
'Konfesakuyay' nishqaaqa piñakuyanmi.	Cuando les digo que deben confesarse se molestan.	CRH-06-298	[['konfesa[V]+kU[Refl/Mid]+yaA[VPl]+y[Imp.2]'], ['ni[VTr]+shqa[Prf](N)+ː[Poss.1Sg]+qa[Top]'], ['piñaku[VInt]+yaA[VPl]+n[3]+mi[Asrt]']]	[[('Konfesa', 'konfesa'), ('ku', 'kU'), ('ya', 'yaA'), ('y', 'y')], [('ni', 'ni'), ('shqa', 'shqa'), ('a', 'ː'), ('qa', 'qa')], [('piñaku', 'piñaku'), ('ya', 'yaA'), ('n', 'n'), ('mi', 'mi')]]	[['konfesa[V]+kU[Refl/Mid]+yaA[VPl]+y[Inf]', 'konfesa[V]+kU[Refl/Mid]+yaA[VPl]+y[Imp.2]'], ['ni[VTr]+shqa[Prf](N)+ː[Poss.1Sg]+qa[Top]'], ['piñaku[VInt]+yaA[VPl]+n[3]+mi[Asrt]', 'piña[VTr]+kU[Refl/Mid]+yaA[VPl]+n[3]+mi[Asrt]']]
Despwes aywakamurqaa kareterata awtu shuyaq.	Después fui a la carretera a esperar un carro.	CRH-06-316	[['despwes[ADV]'], ['aywa[VTr]+kU[Refl/Mid]+mu[Cis]+rqa[Pst]+ː[1]'], ['karetera[N]+ta[Obj]'], ['awtu[N]'], ['shuya[VTr]+q[Agt]']]	[[('Despwes', 'despwes')], [('aywa', 'aywa'), ('ka', 'kU'), ('mu', 'mu'), ('rqa', 'rqa'), ('a', 'ː')], [('karetera', 'karetera'), ('ta', 'ta')], [('awtu', 'awtu')], [('shuya', 'shuya'), ('q', 'q')]]	[['despwes[ADV]'], ['aywa[VTr]+kaA[Pass]+mu[Cis]+rqa[Pst]+ː[1]', 'aywa[VTr]+kU[Refl/Mid]+mu[Cis]+rqa[Pst]+ː[1]'], ['karetera[N]+ta[Obj]'], ['awtu[N]'], ['shuya[VTr]+q[Hab]', 'shuya[VTr]+q[Agt]', 'shuya[VTr]+q[1.Sbj][2.Obj]']]
Las onsiran chaamunqa Chimbotipita.	A las once todavía va a llegar desde Chimbote.	CRH-06-331	[['las[DET]'], ['onsi[NUM.Card]+ran[Inacp]'], ['chaa[VTr]+mu[Cis]+nqa[Fut.3]'], ['chimboti[PROPN]+pita[Abl]']]	[[('Las', 'las')], [('onsi', 'onsi'), ('ran', 'ran')], [('chaa', 'chaa'), ('mu', 'mu'), ('nqa', 'nqa')], [('Chimboti', 'chimboti'), ('pita', 'pita')]]	[['las[DET]'], ['onsi[NUM.Card]+ran[Inacp]'], ['chaa[VTr]+mu[Cis]+nqa[Fut.3]', 'chaa[VTr]+mu[Cis]+n[3]+qa[Top]', 'chaa[VTr]+mu[Cis]+nqa[Sub](N)'], ['chimbotipita[UNK]']]
Tsayna topaq nunaqa ninaq, 'Manam.	Entonces el hombre que le había encontrado dijo, 'No.	CRH-06-368	[['tsayna[ADV]'], ['topa[VInt]+q[Agt]'], ['nuna[N]+qa[Top]'], ['ni[VTr]+naq[Rpst]'], ['mana[INTJ]+mi[Asrt]']]	[[('Tsayna', 'tsayna')], [('topa', 'topa'), ('q', 'q')], [('nuna', 'nuna'), ('qa', 'qa')], [('ni', 'ni'), ('naq', 'naq')], [('Mana', 'mana'), ('m', 'mi')]]	[['tsay[PRON]+na[Acp]'], ['topa[VInt]+q[1.Sbj][2.Obj]', 'topa[VInt]+q[Agt]', 'topa[VInt]+q[Hab]'], ['nuna[N]+qa[Top]'], ['ni[VTr]+naA[Prosp]+q[Agt]', 'ni[VTr]+naA[Prosp]+q[1.Sbj][2.Obj]', 'ni[VTr]+naq[Rpst]', 'ni[VTr]+naA[Prosp]+q[Hab]'], ['mana[ADV]+mi[Asrt]']]
I felismente chaariyarqaa Ayhaman.	Y felizmente llegamos a Aija.	CRH-06-414	[['i[CCONJ]'], ['felismente[ADV]'], ['chaa[VTr]+rI[Pct]+yaA[VPl]+rqa[Pst]+ː[1]'], ['ayha[PROPN]+man[Dat]']]	[[('I', 'i')], [('felismente', 'felismente')], [('chaa', 'chaa'), ('ri', 'rI'), ('ya', 'yaA'), ('rqa', 'rqa'), ('a', 'ː')], [('Ayha', 'ayha'), ('man', 'man')]]	[['i[CCONJ]'], ['felismente[ADV]'], ['chaa[VTr]+rI[Pct]+yaA[VPl]+rqa[Pst]+ː[1]'], ['ayhaman[UNK]']]
Tsaymi tsaychaw allibwenum fyesta sumaykun.	Allí se celebra la fiesta con mucha solemnidad.	CRH-06-485	[['tsay[PRON]+mi[Asrt]'], ['tsay[PRON]+chaw[Loc]'], ['allibwenu[ADV]+mi[Asrt]'], ['fyesta[N]'], ['sumayku[VTr]+n[3]']]	[[('Tsay', 'tsay'), ('mi', 'mi')], [('tsay', 'tsay'), ('chaw', 'chaw')], [('allibwenu', 'allibwenu'), ('m', 'mi')], [('fyesta', 'fyesta')], [('sumayku', 'sumayku'), ('n', 'n')]]	[['tsay[PRON.Dem]+mi[Asrt]', 'tsay[PRON]+mi[Asrt]'], ['tsay[PRON]+chaw[Loc](ADV)', 'tsay[PRON]+chaw[Loc]'], ['allibwenu[ADV]+mi[Asrt]'], ['fyesta[N]'], ['sumayku[VTr]+n[3]']]
Tsaychaw andasman watayan.	Allí lo amarran al anda.	CRH-06-492	[['tsay[PRON]+chaw[Loc]'], ['andas[N]+man[Dat]'], ['wata[VTr]+yaA[VPl]+n[3]']]	[[('Tsay', 'tsay'), ('chaw', 'chaw')], [('andas', 'andas'), ('man', 'man')], [('wata', 'wata'), ('ya', 'yaA'), ('n', 'n')]]	[['tsay[PRON]+chaw[Loc](ADV)', 'tsay[PRON]+chaw[Loc]'], ['andas[N]+man[Dat]'], ['wata[N]+yaA[Transf](VInt)+n[3]', 'wata[VTr]+yaA[VPl]+n[3]', 'wata[N]+yan[Dist]']]
Tsaynawparan tsaypita kutikamurqaa.	Así regresé de allí.	CRH-06-511	[['tsay[PRON]+naw[Equ]+pa[Man]+ran[Inacp]'], ['tsay[PRON]+pita[Abl]'], ['kuti[VInt]+kU[Refl/Mid]+mu[Cis]+rqa[Pst]+ː[1]']]	[[('Tsay', 'tsay'), ('naw', 'naw'), ('pa', 'pa'), ('ran', 'ran')], [('tsay', 'tsay'), ('pita', 'pita')], [('kuti', 'kuti'), ('ka', 'kU'), ('mu', 'mu'), ('rqa', 'rqa'), ('a', 'ː')]]	[['tsay[PRON]+naw[Equ]+pa[Man]+ran[Inacp]', 'tsaynaw[ADV]+pa[Man]+ran[Inacp]', 'tsay[PRON]+naw[Equ]+pa[Gen]+ran[Inacp]', 'tsaynaw[ADV]+pa[Prol]+ran[Inacp]', 'tsay[PRON]+naw[Equ]+pa[Prol]+ran[Inacp]', 'tsaynaw[ADV]+pa[Gen]+ran[Inacp]'], ['tsay[PRON]+pita[Abl](ADV)', 'tsay[PRON]+pita[Abl]'], ['kuti[VInt]+yku[Intens]+mu[Cis]+rqa[Pst]+ː[1]', 'kuti[VInt]+kU[Refl/Mid]+mu[Cis]+rqa[Pst]+ː[1]', 'kuti[VInt]+kaA[Pass]+mu[Cis]+rqa[Pst]+ː[1]', 'kuti[VInt]+YkaA[Prog]+mu[Cis]+rqa[Pst]+ː[1]']]
Allaapa eskasum karu.	Los carros son muy escasos.	CRH-06-512	[['allaapa[ADV]'], ['eskasu[ADJ]+mi[Asrt]'], ['karu[N]']]	[[('Allaapa', 'allaapa')], [('eskasu', 'eskasu'), ('m', 'mi')], [('karu', 'karu')]]	[['allaapa[ADV]', 'allaapa[N]'], ['eskasum[UNK]'], ['karu[N]', 'karu[ADJ]']]
Tsaypitanam aywarqaa padre Jaramillo ashiq i tarikurqaa Rekwayllachaw.	Después fui a buscar al padre Jaramillo y lo encontré en Recuay no más.	CRH-06-527	[['tsay[PRON]+pita[Abl]+na[Acp]+mi[Asrt]'], ['aywa[VTr]+rqa[Pst]+ː[1]'], ['padre[N]'], ['jaramillo[PROPN]'], ['ashi[VTr]+q[Agt]'], ['i[CCONJ]'], ['tari[VTr]+yku[Intens]+rqa[Pst]+ː[1]'], ['rekway[PROPN]+lla[Lim]+chaw[Loc]']]	[[('Tsay', 'tsay'), ('pita', 'pita'), ('na', 'na'), ('m', 'mi')], [('aywa', 'aywa'), ('rqa', 'rqa'), ('a', 'ː')], [('padre', 'padre')], [('Jaramillo', 'jaramillo')], [('ashi', 'ashi'), ('q', 'q')], [('i', 'i')], [('tari', 'tari'), ('ku', 'yku'), ('rqa', 'rqa'), ('a', 'ː')], [('Rekway', 'rekway'), ('lla', 'lla'), ('chaw', 'chaw')]]	[['tsay[PRON]+pita[Abl]+na[Acp]+mi[Asrt]', 'tsay[PRON]+pita[Abl](ADV)+na[Acp]+mi[Asrt]'], ['aywa[VTr]+rqa[Pst]+ː[1]'], ['padre[N]'], ['jaramillo[UNK]'], ['ashi[VTr]+q[Hab]', 'ashi[VTr]+q[1.Sbj][2.Obj]', 'ashi[VTr]+q[Agt]'], ['i[CCONJ]'], ['tari[VTr]+kU[Refl/Mid]+rqa[Pst]+ː[1]', 'tari[VTr]+yku[Intens]+rqa[Pst]+ː[1]'], ['rekway[PROPN]+lla[Lim]+chaw[Loc]']]
Tsaynam tsayllachaw aywakurqaa Konakochaman.	Entonces en su carro no más fui a Conococha.	CRH-06-550	[['tsayna[ADV]+mi[Asrt]'], ['tsay[PRON]+lla[Lim]+chaw[Loc]'], ['aywa[VTr]+kU[Refl/Mid]+rqa[Pst]+ː[1]'], ['konakocha[PROPN]+man[Dat]']]	[[('Tsayna', 'tsayna'), ('m', 'mi')], [('tsay', 'tsay'), ('lla', 'lla'), ('chaw', 'chaw')], [('aywa', 'aywa'), ('ku', 'kU'), ('rqa', 'rqa'), ('a', 'ː')], [('Konakocha', 'konakocha'), ('man', 'man')]]	[['tsay[PRON]+na[Acp]+mi[Asrt]'], ['tsay[PRON]+lla[Lim]+chaw[Loc](ADV)', 'tsay[PRON]+lla[Lim]+chaw[Loc]'], ['aywa[VTr]+kU[Refl/Mid]+rqa[Pst]+ː[1]'], ['konakochaman[UNK]']]
Tsaymi Warasman chaayaamurqaa las sinku de la tardi.'	Entonces llegamos a Huaraz a las cinco de la tarde.	CRH-06-612	[['tsay[PRON]+mi[Asrt]'], ['waras[PROPN]+man[Dat]'], ['chaa[VTr]+yaA[VPl]+mu[Cis]+rqa[Pst]+ː[1]'], ['las[DET]'], ['sinku[NUM.Card]'], ['de[ADP]'], ['la[DET]'], ['tardi[N]']]	[[('Tsay', 'tsay'), ('mi', 'mi')], [('Waras', 'waras'), ('man', 'man')], [('chaa', 'chaa'), ('yaa', 'yaA'), ('mu', 'mu'), ('rqa', 'rqa'), ('a', 'ː')], [('las', 'las')], [('sinku', 'sinku')], [('de', 'de')], [('la', 'la')], [('tardi', 'tardi')]]	[['tsay[PRON.Dem]+mi[Asrt]', 'tsay[PRON]+mi[Asrt]'], ['waras[PROPN]+man[Dat]'], ['chaa[VTr]+yaA[VPl]+mu[Cis]+rqa[Pst]+ː[1]'], ['las[DET]'], ['sinku[NUM.Card]'], ['de[ADP]'], ['la[DET]'], ['tardi[N]']]
Tsaypitanam qayaramurqan padre Jorgita.	De allí llamó al padre Jorge.	CRH-07-020	[['tsay[PRON]+pita[Abl]+na[Acp]+mi[Asrt]'], ['qaya[VTr]+rI[Pct]+mu[Cis]+rqa[Pst]+n[3]'], ['padre[N]'], ['jorgi[PROPN]+ta[Obj]']]	[[('Tsay', 'tsay'), ('pita', 'pita'), ('na', 'na'), ('m', 'mi')], [('qaya', 'qaya'), ('ra', 'rI'), ('mu', 'mu'), ('rqa', 'rqa'), ('n', 'n')], [('padre', 'padre')], [('Jorgi', 'jorgi'), ('ta', 'ta')]]	[['tsay[PRON]+pita[Abl]+na[Acp]+mi[Asrt]', 'tsay[PRON]+pita[Abl](ADV)+na[Acp]+mi[Asrt]'], ['qaya[VTr]+rI[Pct]+mu[Cis]+rqa[Pst]+n[3]'], ['padre[N]'], ['jorgita[UNK]']]
Tsayta aywaraykarmi huk kurbachaw paseta qunakuyashqanta, nuqakuna aywayashqa qarimparirqaa, nuqa taarashqaa laduman.	Mientras íbamos allí, en una curva cuando dimos pase a otro carro, nosotros caímos a un lado, al lado donde yo estaba sentado.	CRH-07-089	[['tsay[PRON.Dem]+ta[Obj]'], ['aywa[VTr]+raA[Dur]+YkaA[Prog]+r[Cnv](N)+mi[Asrt]'], ['huk[DET]'], ['kurba[N]+chaw[Loc]'], ['pase[N]+ta[Obj]'], ['qu[VTr]+nakU[Recp]+yaA[VPl]+shqa[Prf](N)+n[Poss.3]+ta[Obj]'], ['nuqakuna[PRON.Prs]'], ['aywa[VTr]+yaA[VPl]+shqa[Prf](N)'], ['qarimpa[VInt]+rI[Pct]+rqa[Pst]+ː[1]'], ['nuqa[PRON.Prs]'], ['taa[VInt]+rI[Pct]+shqa[Prf](N)+ː[Poss.1Sg]'], ['ladu[N]+man[Dat]']]	[[('Tsay', 'tsay'), ('ta', 'ta')], [('aywa', 'aywa'), ('ra', 'raA'), ('yka', 'YkaA'), ('r', 'r'), ('mi', 'mi')], [('huk', 'huk')], [('kurba', 'kurba'), ('chaw', 'chaw')], [('pase', 'pase'), ('ta', 'ta')], [('qu', 'qu'), ('naku', 'nakU'), ('ya', 'yaA'), ('shqa', 'shqa'), ('n', 'n'), ('ta', 'ta')], [('nuqakuna', 'nuqakuna')], [('aywa', 'aywa'), ('ya', 'yaA'), ('shqa', 'shqa')], [('qarimpa', 'qarimpa'), ('ri', 'rI'), ('rqa', 'rqa'), ('a', 'ː')], [('nuqa', 'nuqa')], [('taa', 'taa'), ('ra', 'rI'), ('shqa', 'shqa'), ('a', 'ː')], [('ladu', 'ladu'), ('man', 'man')]]	[['tsay[PRON]+ta[Obj]', 'tsay[PRON.Dem]+ta[Obj]'], ['aywa[VTr]+rI[Pct]+YkaA[Prog]+r[Cnv](N)+mi[Asrt]', 'aywa[VTr]+raA[Dur]+YkaA[Prog]+r[Cnv](N)+mi[Asrt]'], ['huk[NUM.Card]', 'huk[DET]', 'huk[PRON]'], ['kurbachaw[UNK]'], ['paseta[UNK]'], ['qu[VTr]+nakU[Recp]+yaA[VPl]+shqa[Prf](N)+n[Poss.3]+ta[Obj]', 'qu[VTr]+naA[Prosp]+kU[Refl/Mid]+yaA[VPl]+shqa[Prf](N)+n[Poss.3]+ta[Obj]'], ['nuqakuna[PRON.Prs]'], ['aywa[VTr]+yaA[VPl]+shqa[Prf](N)'], ['qarimparirqaa[UNK]'], ['nuqa[PRON.Prs]'], ['taa[VInt]+raA[Dur]+shqa[Prf](N)+ː[Poss.1Sg]', 'taa[VInt]+rI[Pct]+shqa[Prf](N)+ː[Poss.1Sg]'], ['ladu[N]+man[Dat]']]
Tsaynam diskulpakurqan, “Manam ni pi kichayaamarqatsu,” niyaptii.	Entonces él se disculpó cuando le dijimos que nadie nos abrió.	CRH-07-122	[['tsayna[ADV]+mi[Asrt]'], ['diskulpa[V]+ku[Refl/Mid]+rqa[Pst]+n[3]'], ['mana[ADV]+mi[Asrt]'], ['ni[CCONJ]'], ['pi[PRON]'], ['kicha[VTr]+yaA[VPl]+maA[1.Obj]+rqa[Pst][3]+tsu[Neg]'], ['ni[VTr]+yaA[VPl]+pti[Cnv](N)+ː[Poss.1Sg]']]	[[('Tsayna', 'tsayna'), ('m', 'mi')], [('diskulpa', 'diskulpa'), ('ku', 'ku'), ('rqa', 'rqa'), ('n', 'n')], [('Mana', 'mana'), ('m', 'mi')], [('ni', 'ni')], [('pi', 'pi')], [('kicha', 'kicha'), ('yaa', 'yaA'), ('ma', 'maA'), ('rqa', 'rqa'), ('tsu', 'tsu')], [('ni', 'ni'), ('ya', 'yaA'), ('pti', 'pti'), ('i', 'ː')]]	[['tsay[PRON]+na[Acp]+mi[Asrt]'], ['diskulpakurqan[UNK]'], ['mana[ADV]+mi[Asrt]'], ['ni[CCONJ]'], ['pi[PRON]'], ['kicha[VTr]+yaA[VPl]+maA[1.Obj]+rqa[Pst][3]+tsu[Neg]'], ['ni[VTr]+yaA[VPl]+pti[Cnv](N)+ː[Poss.1Sg]']]
Huk restawrantillachawnam rogaypa quyaamarqan cafellatana.	En un restaurante después de muchas súplicas nos dieron café no más.	CRH-07-163	[['huk[DET]'], ['restawranti[N]+lla[Lim]+chaw[Loc]+na[Acp]+mi[Asrt]'], ['roga[V]+y[Inf]+pa[Man]'], ['qu[VTr]+yaA[VPl]+maA[1.Obj]+rqa[Pst]+n[3]'], ['cafe[N]+lla[Lim]+ta[Obj]+na[Acp]']]	[[('Huk', 'huk')], [('restawranti', 'restawranti'), ('lla', 'llaA'), ('chaw', 'chaw'), ('na', 'na'), ('m', 'mi')], [('roga', 'roga'), ('y', 'y'), ('pa', 'pa')], [('qu', 'qu'), ('yaa', 'yaA'), ('ma', 'maA'), ('rqa', 'rqa'), ('n', 'n')], [('cafe', 'cafe'), ('lla', 'lla'), ('ta', 'ta'), ('na', 'na')]]	[['huk[NUM.Card]', 'huk[DET]', 'huk[PRON]'], ['restawranti[N]+lla[Lim]+chaw[Loc]+na[Acp]+mi[Asrt]'], ['roga[V]+y[Inf]+pa[Gen]', 'roga[V]+y[Inf]+pa[Prol]', 'roga[V]+y[Inf]+pa[Man]'], ['qu[VTr]+yaA[VPl]+maA[1.Obj]+rqa[Pst]+n[3]', 'quyaa[VInt]+maA[1.Obj]+rqa[Pst]+n[3]'], ['cafellatana[UNK]']]
Mana maymanpis aywayta pwedirnam, otelllachawna kedakuyarqaa.	Sin poder ir a ninguna parte quedamos en el hotel.	CRH-07-165	[['mana[ADV]'], ['may[PRON]+man[Dat]+pis(Pron.Indef)'], ['aywa[VTr]+y[Inf]+ta[Obj]'], ['pwedi[VTr]+r[Cnv](N)+na[Acp]+mi[Asrt]'], ['otel[N]+lla[Lim]+chaw[Loc]+na[Acp]'], ['keda[V]+kU[Refl/Mid]+yaA[VPl]+rqa[Pst]+ː[1]']]	[[('Mana', 'mana')], [('may', 'may'), ('man', 'man'), ('pis', 'pis')], [('aywa', 'aywa'), ('y', 'y'), ('ta', 'ta')], [('pwedi', 'pwedi'), ('r', 'r'), ('na', 'na'), ('m', 'mi')], [('otel', 'otel'), ('lla', 'lla'), ('chaw', 'chaw'), ('na', 'na')], [('keda', 'keda'), ('ku', 'kU'), ('ya', 'yaA'), ('rqa', 'rqa'), ('a', 'ː')]]	[['mana[INTJ]', 'mana[ADV]'], ['may[PRON]+man[Dat]+pis(Pron.Indef)'], ['aywa[VTr]+y[Inf]+ta[Obj]'], ['pwedi[VTr]+r[Cnv](N)+na[Acp]+mi[Asrt]'], ['otel[N]+lla[Lim]+chaw[Loc]+na[Acp]'], ['keda[V]+kU[Refl/Mid]+yaA[VPl]+rqa[Pst]+ː[1]']]
Chirapa tamyatam prosesyon tumaykurqan.	La procesión dio vuelta en una lluvia de garúa.	CRH-07-185	[['chirapa[N]'], ['tamya[N]+ta[Obj]+mi[Asrt]'], ['prosesyon[N]'], ['tuma[VTr]+yku[Intens]+rqa[Pst]+n[3]']]	[[('Chirapa', 'chirapa')], [('tamya', 'tamya'), ('ta', 'ta'), ('m', 'mi')], [('prosesyon', 'prosesyon')], [('tuma', 'tuma'), ('yku', 'yku'), ('rqa', 'rqa'), ('n', 'n')]]	[['chirapa[N]'], ['tamya[N]+ta[Obj]+mi[Asrt]'], ['prosesyon[N]'], ['tuma[VTr]+yku[Intens]+rqa[Pst]+n[3]']]
